Date,League,Team 1,Score,Team 2,League Name
07.09. 20:45,EM Q,Frankreich,2:0,Irland,EM-Qualifikation
07.09. 20:45,EM Q,Frankreich,2:1,Irland+1,EM-Qualifikation
07.09. 20:45,EM Q,Frankreich,2:2,Irland+2,EM-Qualifikation
08.09. 00:30,WM Q,Paraguay,0:0,Peru,"WM Qualifikation, CONMEBOL"
08.09. 00:30,WM Q,Paraguay,0:1,Peru+1,"WM Qualifikation, CONMEBOL"
08.09. 01:00,WM Q,Kolumbien,1:0,Venezuela,"WM Qualifikation, CONMEBOL"
08.09. 01:00,WM Q,Kolumbien,1:1,Venezuela+1,"WM Qualifikation, CONMEBOL"
08.09. 01:15,TEN WTA,"Gauff, Cori",2:0,"Muchova, Karolina",Tennis WTA
08.09. 02:00,WM Q,Argentinien,1:0,Ecuador,"WM Qualifikation, CONMEBOL"
08.09. 02:00,WM Q,Argentinien,1:1,Ecuador+1,"WM Qualifikation, CONMEBOL"
08.09. 02:20,NFL,Kansas City Chiefs,20:21,Detroit Lions,USA NFL
08.09. 04:10,CCC NL,Guatemala,2:0,El Salvador,CONCACAF Nations League
08.09. 04:25,TEN WTA,"Keys, Madison",1:2,"Sabalenka, Aryna",Tennis WTA
08.09. 18:00,EM Q,Georgien,1:7,Spanien,EM-Qualifikation
08.09. 20:45,EM Q,Luxemburg,3:1,Island,EM-Qualifikation
08.09. 20:45,EM Q,Slowakei,0:1,Portugal,EM-Qualifikation
08.09. 20:45,EM Q,Türkei,1:1,Armenien,EM-Qualifikation
08.09. 20:45,EM Q,Zypern,0:3,Schottland,EM-Qualifikation
09.09. 15:00,EM Q,Aserbaidschan,0:1,Belgien,EM-Qualifikation
09.09. 18:00,EM Q,Estland,0:5,Schweden,EM-Qualifikation
09.09. 18:00,EM Q,Ukraine*,1:1,England,EM-Qualifikation
09.09. 20:45,EM Q,Kosovo,2:2,Schweiz,EM-Qualifikation
09.09. 20:45,EM Q,Rumänien,1:1,Israel,EM-Qualifikation
09.09. 20:45,EM Q,Nordmazedonien,1:1,Italien,EM-Qualifikation
09.09. 20:45,INT FS,Deutschland,1:4,Japan,Internationale Freundschaftsspiele
10.09. 18:00,EM Q,Finnland,0:1,Dänemark,EM-Qualifikation
10.09. 18:00,INT FS,Ungarn,1:1,Tschechien,Internationale Freundschaftsspiele
10.09. 20:45,EM Q,Irland,1:2,Niederlande,EM-Qualifikation
12.09. 20:45,EM Q,Schweden,1:3,Österreich,EM-Qualifikation
12.09. 21:00,INT FS,Deutschland,2:1,Frankreich,Internationale Freundschaftsspiele
