Date,League,Team 1,Score,Team 2,League Name
23.12. 17:00,GRE 1,OFI Kreta,4:0,Volos NFC,Griechenland Super League
23.12. 18:00,TUR 1,Basaksehir,2:2,Kasimpasa,Türkei Süper Lig
23.12. 18:00,TUR 1,Hatayspor,1:3,Adana Demirspor,Türkei Süper Lig
23.12. 18:00,TUR 2,Amed SK,2:0,Ümraniyespor,Türkei TFF 1. Lig
23.12. 18:00,TUR 2,Genclerbirligi,0:2,Adanaspor,Türkei TFF 1. Lig
23.12. 18:00,CYP 1,Ethnikos Achnas,2:2,APOEL Nikosia,Zypern 1. Division
23.12. 18:30,ITA A,AC Fiorentina,1:2,Udinese Calcio,Italien Serie A
23.12. 19:00,ISR 1,Beitar Jerusalem,1:1,Ironi Tiberias,Israel Premier League
23.12. 19:00,ROU 1,CSM Poli. Iasi,0:2,FCS Bukarest,Rumänien Liga 1
23.12. 19:00,NHL,New Jersey Devils,5:0,New York Rangers,USA NHL
23.12. 19:45,POR 1,Vitoria Guimaraes,2:2,CD Nacional,Portugal Primeira Liga
23.12. 19:45,POR 1,Benfica Lissabon,3:0,Estoril Praia,Portugal Primeira Liga
23.12. 20:00,NHL,Toronto Maple L.,2:5,Winnipeg Jets,USA NHL
23.12. 20:30,ITA C1C,Trapani Calcio,0:0,US Foggia,"Italien, Lega Pro Prima Divisione, Girone C"
23.12. 20:45,ITA A,Inter Mailand,2:0,Como Calcio,Italien Serie A
23.12. 21:15,ENG 1,Crawley Town,0:1,Birmingham City,England League One
23.12. 21:45,POR 1,CF Estrela,1:0,Rio Ave FC,Portugal Primeira Liga
24.12. 14:00,RSA PL,Orlando Pirates FC,8:1,Marumo Gallants FC,"Südafrika, Premier League"
24.12. 14:00,RSA PL,Amazulu FC,0:1,Mamelodi FC,"Südafrika, Premier League"
24.12. 15:25,GOLF-C,Oman,2:1,Katar,Golf Cup
24.12. 16:00,EGY 1,ZED FC,0:0,Enppi Club,Ägypten Premier League
24.12. 18:30,GOLF-C,Ver. Arab. Emirate,1:2,Kuwait,Golf Cup
24.12. 19:00,EGY 1,Talaea El Gaish,2:2,El Zamalek,Ägypten Premier League
25.12. 15:25,GOLF-C,Jemen,2:3,Saudi Arabien,Golf Cup
25.12. 16:00,EGY 1,Ismaily SC,2:2,Haras El Hodood,Ägypten Premier League
