Date,League,Team 1,Score,Team 2,League Name
29.08. 17:00,TEN ATP,"Humbert, Ugo",0:3,"Berrettini, Matteo",Tennis ATP
29.08. 17:00,TEN ATP,Schwartzman D.,0:3,"Rinderknech, A.",Tennis ATP
29.08. 18:10,TEN ATP,"Khachanov, Karen",0:3,"Mmoh, Michael",Tennis ATP
29.08. 18:45,TEN ATP,"Altmaier, Daniel",3:1,"Lestienne, Const.",Tennis ATP
29.08. 18:55,TEN ATP,"Shevchenko, Alex",0:3,"Norrie, Cameron",Tennis ATP
29.08. 19:10,TEN ATP,"Molcan, Alex",2:3,"Dimitrov, Grigor",Tennis ATP
29.08. 20:00,SAUD 1,Al Nasr Riad,4:0,Al Shabab,Saudi Professional League
29.08. 20:00,SAUD 1,Al Ahli Jeddah,2:0,Al Tai,Saudi Professional League
29.08. 20:00,SAUD 1,Al Khaleej Saihat,1:1,Al Hazem FC,Saudi Professional League
29.08. 20:15,TEN ATP,"Ruusuvuori, Emil",abgesagt,"Rublev, Andrey",Tennis ATP
29.08. 20:30,TEN ATP,"Murray, Andy",3:0,"Moutet, Corentin",Tennis ATP
29.08. 20:30,ITA B,AC Reggiana,1:3,Palermo FC,Italien Serie B
29.08. 20:30,ITA B,SC Pisa,1:2,FC Parma,Italien Serie B
29.08. 20:30,ITA B,Cosenza Calcio,1:2,FC Modena,Italien Serie B
29.08. 20:30,ITA B,Ascoli FC,3:0,Feralpisalò,Italien Serie B
29.08. 20:30,ENG LC,Swansea City,2:3,AFC Bournemouth,England - EFL Cup
29.08. 20:45,ENG LC,Tranmere Rovers,0:2,Leicester City,England - EFL Cup
29.08. 20:45,ENG LC,Stoke City,6:1,Rotherham United,England - EFL Cup
29.08. 20:45,ENG LC,Wrexham FC,1:1,Bradford City FC,England - EFL Cup
29.08. 20:45,ENG LC,Bolton Wanderers,1:3,Middlesbrough,England - EFL Cup
29.08. 20:45,ENG LC,Port Vale FC,0:0,FC Crewe Alexandra,England - EFL Cup
29.08. 20:45,ENG LC,Sheffield Wednes.,1:1,Mansfield Town,England - EFL Cup
29.08. 20:45,ENG LC,Plymouth Argyle,2:4,Crystal Palace,England - EFL Cup
29.08. 20:45,ENG LC,FC Portsmouth,1:1,Peterborough Utd.,England - EFL Cup
29.08. 20:45,ENG LC,Luton Town,3:2,FC Gillingham,England - EFL Cup
29.08. 20:45,ENG LC,FC Fulham,1:1,Tottenham,England - EFL Cup
29.08. 20:45,ENG LC,Exeter City,1:1,FC Stevenage,England - EFL Cup
29.08. 20:45,ENG LC,Wycombe Wanderers,0:1,Sutton United,England - EFL Cup
29.08. 20:45,ENG LC,Birmingham City,1:3,Cardiff City,England - EFL Cup
29.08. 20:45,ENG LC,Newport County,1:1,FC Brentford,England - EFL Cup
29.08. 20:45,ENG LC,Wolverhampton,5:0,FC Blackpool,England - EFL Cup
29.08. 20:45,ENG LC,Bristol City,0:1,Norwich City,England - EFL Cup
29.08. 20:55,TEN ATP,"Baez, Sebastian",3:0,"Coric, Borna",Tennis ATP
29.08. 21:00,ENG LC,Salford City,1:1,Leeds United,England - EFL Cup
29.08. 21:00,ENG LC,FC Reading,2:2,Ipswich Town,England - EFL Cup
29.08. 21:00,CL,Galatasaray TUR,2:1,Molde FK NOR,UEFA Champions League
29.08. 21:00,CL,Galatasaray,2:2,Molde FK+1,UEFA Champions League
29.08. 21:00,CL,YB Bern SUI,3:0,Maccabi Haifa ISR,UEFA Champions League
29.08. 21:00,CL,Young Boys Bern,3:1,Maccabi Haifa+1,UEFA Champions League
29.08. 21:00,CL,Panathinaikos GRE,0:1,Sporting Braga POR,UEFA Champions League
29.08. 21:00,CL,Panathinaikos,0:2,Sporting Braga+1,UEFA Champions League
29.08. 21:15,TEN ATP,Diaz Acosta F.,0:3,"Isner, John",Tennis ATP
29.08. 22:40,TEN ATP,"Galan, Daniel",0:3,"Evans, Daniel",Tennis ATP
