Date,League,Team 1,Score,Team 2,League Name
03.06. 11:00,TEN WTA,"Sabalenka, Aryna",2:0,"Zheng, Qinwen",Tennis WTA
03.06. 13:30,TEN WTA,"Svitolina, Elina",0:2,"Swiatek, Iga",Tennis WTA
03.06. 15:35,TEN ATP,"Musetti, Lorenzo",3:1,"Tiafoe, Frances",Tennis ATP
03.06. 17:30,FIN 3,Inter Turku 2,6:1,KuPS Akatemia,Finnland Ykkonen
03.06. 19:00,SWE 3N,IF Karlstad Fotbol,0:0,Örebro Syrianska,Schweden Div 1 Norra
03.06. 19:00,UEFANLF,Bulgarien Frauen,0:1,Estland Frauen,"UEFA Nations League, Frauen"
03.06. 19:00,UEFANLF,Polen Frauen,3:0,Rumänien Frauen,"UEFA Nations League, Frauen"
03.06. 19:00,UEFANLF,Bosnien-Hg. Frauen,1:1,Nordirland Frauen,"UEFA Nations League, Frauen"
03.06. 19:00,UEFANLF,Griechenl. Frauen,0:1,Türkei Frauen,"UEFA Nations League, Frauen"
03.06. 19:00,UEFANLF,Finnland Frauen,1:1,Serbien Frauen,"UEFA Nations League, Frauen"
03.06. 19:00,UEFANLF,Albanien Frauen,1:2,Tschechien Frauen,"UEFA Nations League, Frauen"
03.06. 19:00,UEFANLF,Spanien Frauen,2:1,England Frauen,"UEFA Nations League, Frauen"
03.06. 19:00,UEFANLF,Spanien Frauen,2:2,England Frauen+1,"UEFA Nations League, Frauen"
03.06. 19:00,UEFANLF,Portugal Frauen,0:3,Belgien Frauen,"UEFA Nations League, Frauen"
03.06. 19:30,UEFANLF,Wales Frauen,1:4,Italien Frauen,"UEFA Nations League, Frauen"
03.06. 19:30,UEFANLF,Schweden Frauen,6:1,Dänemark Frauen,"UEFA Nations League, Frauen"
03.06. 20:00,UEFANLF,Schweiz Frauen,0:1,Norwegen Frauen,"UEFA Nations League, Frauen"
03.06. 20:00,UEFANLF,Island Frauen,0:2,Frankreich Frauen,"UEFA Nations League, Frauen"
03.06. 20:25,TEN ATP,"Paul, Tommy",0:3,"Alcaraz, Carlos",Tennis ATP
03.06. 20:30,UEFANLF,Niederlande Frauen,1:1,Schottland Frauen,"UEFA Nations League, Frauen"
03.06. 20:30,UEFANLF,Niederlande Frauen,1:2,Schottland F+1,"UEFA Nations League, Frauen"
03.06. 20:30,UEFANLF,Österreich Frauen,0:6,Deutschland Frauen,"UEFA Nations League, Frauen"
03.06. 20:30,UEFANLF,Österreich F+1,1:6,Deutschland Frauen,"UEFA Nations League, Frauen"
03.06. 20:30,UEFANLF,Österreich F+2,2:6,Deutschland Frauen,"UEFA Nations League, Frauen"
03.06. 21:00,CHI 1,Union Espanola,2:2,Deportes Limache,Chile Primera Divison
04.06. 11:00,TEN WTA,"Keys, Madison",1:2,"Gauff, Coco",Tennis WTA
04.06. 12:00,JPN LC,Tokyo Verdy,0:3,Kashiwa Reysol,Japan Nabisco Cup
04.06. 12:00,JPN LC,Shonan Bellmare,2:0,Jubilo Iwata,Japan Nabisco Cup
04.06. 12:00,JPN LC,Cerezo Osaka,4:1,Yokohama FC,Japan Nabisco Cup
04.06. 12:00,JPN LC,Avispa Fukuoka,1:0,Sanfr. Hiroshima,Japan Nabisco Cup
04.06. 13:35,TEN WTA,"Andreeva, Mirra",0:2,"Boisson, Lois",Tennis WTA
04.06. 15:00,COSAFAC,Südafrika,0:1,Mosambik,COSAFA Cup
04.06. 16:15,TEN ATP,"Sinner, Jannik",3:0,"Bublik, Alexander",Tennis ATP
04.06. 18:00,FS U21,Serbien U21,2:3,Griechenland U21,U21 Freundschaftsspiele
04.06. 18:30,HB HUN,Pick Szeged,32:28,Veszprem HC,Ungarn NB I
04.06. 18:30,BB GER,Würzburg Baskets,87:77,Ratiopharm Ulm,Deutschland BBL
04.06. 19:00,BB ESP,Joventut Badalona,60:80,CB 1939 Canarias T,Spanien ACB
04.06. 19:00,EGT LC,Ismaily SC,0:2,Ceramica Cleopatra,Ägypten Liga Cup
04.06. 19:00,EGT LC,Nat. Bank Egypt,2:1,Enppi Club,Ägypten Liga Cup
04.06. 19:00,HB GER,THSV Eisenach,37:19,1. VfL Potsdam,Deutsche Handball Bundesliga
04.06. 19:00,HB GER,MT Melsungen,26:26,TBV Lemgo,Deutsche Handball Bundesliga
04.06. 19:00,HB GER,SC DHfK Leipzig,25:34,SG BBM Bietigheim,Deutsche Handball Bundesliga
04.06. 19:00,HB GER,Hannover Burgd.,29:29,THW Kiel,Deutsche Handball Bundesliga
04.06. 20:00,HB GER,SC Magdeburg,35:27,Flensburg-Handew.,Deutsche Handball Bundesliga
04.06. 20:00,BB GER,USC Heidelberg,61:90,Bayern München,Deutschland BBL
04.06. 20:30,TEN ATP,"Zverev, Alexander",1:3,"Djokovic, Novak",Tennis ATP
04.06. 20:45,BB ITA,Brescia Leonessa,92:86,Trapani,Italien A1
04.06. 21:10,UEFA NL,Deutschland,1:2,Portugal,UEFA Nations League
04.06. 21:10,UEFA NL,Deutschland,1:3,Portugal+1,UEFA Nations League
04.06. 21:10,UEFA NL,Deutschland,1:4,Portugal+2,UEFA Nations League
04.06. 21:15,ISL 2,Völsungur,abgesagt,Thor Akureyri,Island 2. Liga
04.06. 21:15,ISL 2,IR Reykjavik,2:1,Throttur Reykjavik,Island 2. Liga
04.06. 21:15,ISL 2,HK Kopavogs,4:1,UMF Selfoss,Island 2. Liga
04.06. 21:15,ISL 2,UMF Grindavik,abgesagt,Keflavik IF,Island 2. Liga
04.06. 21:15,ISL 2,Fylkir Reykjavik,1:2,Leiknir Reykjavik,Island 2. Liga
04.06. 21:15,ISL 2,UMF Njardvik,1:1,Fjölnir,Island 2. Liga
04.06. 21:15,BB ESP,Gran Canaria,90:90,Valencia Basket,Spanien ACB
04.06. 23:15,COL COP,Alianza Valledupar,4:0,Rionegro Aguilas,Copa Colombia
05.06. 01:00,BRA 1,Botafogo RJ,3:2,Ceara SC CE,Brasilien Brasilero Serie A
05.06. 01:10,COL 1,Deportes Tolima,1:3,Indep. Medellin,Kolumbien Primera Liga
05.06. 02:00,NHL,Edmonton Oilers,3:3,Florida Panthers,USA NHL
05.06. 03:15,COL 1,America de Cali,2:1,Atletico Junior,Kolumbien Primera Liga
05.06. 13:10,WMQ ASI,Australien,1:0,Japan,"WM Qualifikation, Asien"
05.06. 13:10,WMQ ASI,Australien,1:1,Japan+1,"WM Qualifikation, Asien"
05.06. 13:10,WMQ ASI,Australien+1,2:0,Japan,"WM Qualifikation, Asien"
05.06. 15:00,TEN WTA,"Sabalenka, Aryna",2:1,"Swiatek, Iga",Tennis WTA
05.06. 15:45,WMQ ASI,Indonesien,1:0,China,"WM Qualifikation, Asien"
05.06. 17:45,TEN WTA,"Boisson, Lois",0:2,"Gauff, Coco",Tennis WTA
05.06. 18:00,WMQ ASI,Bahrain,0:2,Saudi Arabien,"WM Qualifikation, Asien"
05.06. 18:00,WMQ ASI,Oman,0:3,Jordanien,"WM Qualifikation, Asien"
05.06. 18:00,WMQ ASI,Ver. Arab. Emirate,0:0,Usbekistan,"WM Qualifikation, Asien"
05.06. 18:00,INT FS,Georgien,1:0,Färöer Inseln,Internationale Freundschaftsspiele
