Num,Date,Time,League,Team 1,Score,Team 2,League Name
065,26.02.,20:45,ENG CS,FC Fulham,1:0,Swansea City,England Championship
066,26.02.,20:45,ENG CS,Sheffield Wednes.,1:0,Charlton Athletic,England Championship
067,26.02.,20:45,ENG CS,Blackburn Rovers,0:0,Stoke City,England Championship
068,26.02.,20:45,ENG CS,FC Millwall,0:0,Birmingham City,England Championship
069,26.02.,20:45,ENG CS,Hull City,0:1,FC Barnsley,England Championship
070,26.02.,20:45,ENG CS,FC Middlesbrough,0:1,Leeds United,England Championship
071,26.02.,21:00,ENG CS,FC Reading,0:3,Wigan Athletic,England Championship
072,26.02.,21:00,CL,Real Madrid ESP,1:2,Man. City ENG,UEFA Champions League
073,26.02.,21:00,CL,Real Madrid,1:3,Manch. City+1,UEFA Champions League
074,26.02.,21:00,CL,Real Madrid+1,2:2,Manchester City,UEFA Champions League
075,26.02.,21:00,CL,Ol. Lyon FRA,1:0,Juventus Turin ITA,UEFA Champions League
076,26.02.,21:00,CL,Olympique Lyon+1,2:0,Juventus Turin,UEFA Champions League
077,27.02.,01:30,RECOPA,CR Flamengo RJ BRA,3:0,Indep. d.Valle ECU,Recopa Sudamericana
078,27.02.,17:00,TUR 2,Bursaspor,2:2,Altay Izmir,Türkei TFF 1. Lig
079,27.02.,17:10,KHL,HK Dinamo Minsk,4:3,Dynamo Moskau,Kontinental Hockey League
080,27.02.,17:30,KHL,HC Vityaz Podolsk,4:4,Lok. Jaroslawl,Kontinental Hockey League
081,27.02.,17:30,KHL,AK Bars Kasan,0:3,Avtomobilist,Kontinental Hockey League
082,27.02.,17:30,KHL,HK CSKA Moskau,6:0,HC Sochi,Kontinental Hockey League
083,27.02.,17:30,EH FIN,Tappara Tampere,1:2,SaiPa Lappeenr.,Finnland SM-Liiga
084,27.02.,17:30,EH FIN,HIFK Helsinki,3:3,Ässät Pori,Finnland SM-Liiga
085,27.02.,18:00,BB EL,Zenit Petersb. RUS,68:77,Bayern München GER,Euroleague
086,27.02.,18:00,BB EL,ZSKA Moskau RUS,80:82,FC Barcelona ESP,Euroleague
087,27.02.,18:55,EL,FC Basel SUI,1:0,APOEL Nikosia CYP,UEFA Europa League
088,27.02.,18:55,EL,Espanyol Barc. ESP,3:2,Wolverhampton ENG,UEFA Europa League
089,27.02.,18:55,EL,Ist.Basaks TUR,3:1,Sporting Liss. POR,UEFA Europa League
090,27.02.,18:55,EL,Malmö FF SWE,0:3,VfL Wolfsburg GER,UEFA Europa League
091,27.02.,18:55,EL,LASK Linz AUT,2:0,AZ Alkmaar NED,UEFA Europa League
092,27.02.,18:55,EL,LASK Linz,2:1,AZ Alkmaar+1,UEFA Europa League
093,27.02.,18:55,EL,FC Porto POR,1:3,Leverkusen GER,UEFA Europa League
094,27.02.,18:55,EL,FC Porto,1:4,Bay. Leverkusen+1,UEFA Europa League
095,27.02.,18:55,EL,KAA Gent BEL,1:1,AS Roma ITA,UEFA Europa League
096,27.02.,19:00,EH SWE,Lulea Hockey,3:3,IK Oskarshamn,Schweden Elitserien
097,27.02.,19:00,EH SWE,Leksands IF,4:1,Växjö Lakers,Schweden Elitserien
098,27.02.,19:00,EH SWE,Färjestads BK,3:2,Rögle BK,Schweden Elitserien
099,27.02.,19:00,EH SWE,Linköpings HC,1:1,Frölunda HC,Schweden Elitserien
100,27.02.,19:00,EH SWE,HC Örebro,0:2,Malmö IF,Schweden Elitserien
101,27.02.,19:00,EH SWE,Brynas IF,3:5,Skelleftea AIK,Schweden Elitserien
102,27.02.,19:15,EH AUT,KAC Klagenfurt,1:2,HC Bozen Foxes,Österreich Eishockey Liga
103,27.02.,19:15,EH AUT,EC Graz 99ers,4:5,Vienna Capitals,Österreich Eishockey Liga
104,27.02.,19:15,EH AUT,HC Innsbruck,2:2,Black Wings Linz,Österreich Eishockey Liga
105,27.02.,19:15,EH AUT,Fehervar,4:0,HC Znojmo,Österreich Eishockey Liga
106,27.02.,19:15,EH AUT,EC Dornbirn,4:0,Villacher SV,Österreich Eishockey Liga
107,27.02.,19:30,EH GER,Schwenninger W.W.,3:2,EHC Wolfsburg,Deutschland Deutsche Eishockey Liga
108,27.02.,20:00,BB EL,Alba Berlin GER,86:99,Efes Istanbul TUR,Euroleague
109,27.02.,21:00,BB EL,Baskonia G. ESP,71:56,Roter Stern SRB,Euroleague
110,27.02.,21:00,EL,Manchester U. ENG,5:0,Club Brügge BEL,UEFA Europa League
111,27.02.,21:00,EL,Manchester United,5:1,Club Brügge+1,UEFA Europa League
112,27.02.,21:00,EL,Ajax Amsterd. NED,2:1,Getafe CF ESP,UEFA Europa League
113,27.02.,21:00,EL,Celtic Glasgow SCO,1:3,FC Kopenhagen DEN,UEFA Europa League
114,27.02.,21:00,EL,FC Sevilla ESP,0:0,FC CFR Cluj ROU,UEFA Europa League
115,27.02.,21:00,EL,FC Arsenal ENG,0:1,Olympiakos P. GRE,UEFA Europa League
116,27.02.,21:00,EL,Inter Mailand ITA,2:1,Ludog. Razgrad BUL,UEFA Europa League
117,27.02.,21:00,EL,Benfica Lissab POR,3:3,Shakhtar Don. UKR,UEFA Europa League
118,28.02.,18:00,EL,RB Salzburg AUT,2:2,E. Frankfurt GER,UEFA Europa League
119,28.02.,18:00,EL,RB Salzburg,2:3,Eintr. Frankfurt+1,UEFA Europa League
120,28.02.,18:00,EL,RB Salzburg+1,3:2,Eintr. Frankfurt,UEFA Europa League
