Date,League,Team 1,Score,Team 2,League Name
03.01. 17:00,ESP 1,Granada CF,2:0,Cadiz CF,Spanien La Liga
03.01. 18:00,ITA CUP,Atalanta Bergamo,3:1,US Sassuolo,Coppa Italia
03.01. 18:00,CYP 1,Othellos Athienou,0:0,AEK Larnaca,Zypern 1. Division
03.01. 18:00,CYP 1,Ethnikos Achnas,2:3,Salamis Famagusta,Zypern 1. Division
03.01. 18:00,CYP 1,FC Pafos,1:0,Aris Limassol,Zypern 1. Division
03.01. 19:00,GRE 1,PAOK Thessaloniki,4:0,OFI Kreta,Griechenland Super League
03.01. 19:15,ESP 1,Real Madrid,1:0,RCD Mallorca,Spanien La Liga
03.01. 19:15,ESP 1,Celta de Vigo,2:1,Betis Sevilla,Spanien La Liga
03.01. 19:15,ISR 1,H. Petach Tikva,2:2,Maccabi Haifa,Israel Superliga
03.01. 19:15,EH AUT,HC Innsbruck,3:3,EC VSV,win2day ICE Hockey League
03.01. 19:15,EH AUT,EC RB Salzburg,3:1,Black Wings Linz,win2day ICE Hockey League
03.01. 19:15,EH AUT,Vienna Capitals,3:3,Fehervar AV19,win2day ICE Hockey League
03.01. 19:15,EH AUT,HK Olimpija,5:1,EC Graz 99ers,win2day ICE Hockey League
03.01. 20:00,GRE 1,Panathinaikos,2:0,PAS Giannina FC,Griechenland Super League
03.01. 20:45,FRA SC,Paris SG,2:0,FC Toulouse,Frankreich Trophée des Champions
03.01. 21:00,ITA CUP,AS Roma,2:1,US Cremonese,Coppa Italia
03.01. 21:00,BB EL,Barcelona Bask ESP,83:78,Real Madrid BC ESP,Euroleague
03.01. 21:12,DART WM,"Littler, Luke",4:7,"Humphries, Luke",Darts PDC Weltmeisterschaft
03.01. 21:30,ESP 1,FC Girona,4:3,Atletico Madrid,Spanien La Liga
04.01. 16:00,GRE 1,Panaitolikos,3:2,Panserraikos FC,Griechenland Super League
04.01. 17:00,ESP 1,CA Osasuna,1:0,UD Almeria,Spanien La Liga
04.01. 18:00,GRE 1,Atromitos Athen,3:0,AE Kifisia FC,Griechenland Super League
04.01. 18:00,CYP 1,AEZ Zakakiou,1:1,Doxa Katokopias,Zypern 1. Division
04.01. 19:00,EH SWE,Växjö Lakers,4:2,Malmö Redhawks,Schweden Elitserien
04.01. 19:00,EH SWE,Örebro Hockey,2:6,HV 71,Schweden Elitserien
04.01. 19:00,EH SWE,Färjestads BK,2:4,Frölunda HC,Schweden Elitserien
