Date,League,Team 1,Score,Team 2,League Name
23.12. 13:30,AFR CUP,DR Kongo,1:0,Benin,Afrika Cup
23.12. 16:00,AFR CUP,Senegal,3:0,Botswana,Afrika Cup
23.12. 18:30,AFR CUP,Nigeria,2:1,Tansania,Afrika Cup
23.12. 18:30,TUR CUP,Fenerbahce,1:2,Besiktas Istanbul,Türkei Türkiye Kupasi
23.12. 19:00,HB GER,SC Magdeburg,26:26,THW Kiel,Deutsche Handball Bundesliga
23.12. 19:30,EH GER,Adler Mannheim,8:5,Eisbären Berlin,Deutschland Eishockey Liga
23.12. 19:30,EH GER,EHC Wolfsburg,4:1,Iserlohn Roosters,Deutschland Eishockey Liga
23.12. 19:30,EH GER,Schwenninger W.W.,0:4,Bremerhaven P.,Deutschland Eishockey Liga
23.12. 19:30,EH GER,Straubing Tigers,5:3,Dresdner Eislöwen,Deutschland Eishockey Liga
23.12. 19:30,EH GER,ERC Ingolstadt,1:3,EHC München,Deutschland Eishockey Liga
23.12. 19:30,EH GER,Augsburger Panth.,2:2,Nürnberg Ice Tiger,Deutschland Eishockey Liga
23.12. 19:30,EH GER,Löwen Frankfurt,1:4,Kölner Haie,Deutschland Eishockey Liga
23.12. 21:00,AFR CUP,Tunesien,3:1,Uganda,Afrika Cup
23.12. 21:00,ENG LC,FC Arsenal,1:1,Crystal Palace,England - EFL Cup
23.12. 21:00,ENG LC,FC Arsenal,1:2,Crystal Palace+1,England - EFL Cup
23.12. 21:45,POR 1,Vitoria Guimaraes,1:4,Sporting Lissabon,Portugal Primeira Liga
24.12. 13:30,TUR CUP,Boluspor,0:0,Fethiyespor,Türkei Türkiye Kupasi
24.12. 13:30,AFR CUP,Burkina Faso,2:1,Äquatorialguinea,Afrika Cup
24.12. 16:00,AFR CUP,Algerien,3:0,Sudan,Afrika Cup
24.12. 16:00,EGT LC,Pharco FC,2:1,Enppi Club,Ägypten Liga Cup
24.12. 18:30,AFR CUP,Elfenbeinküste,1:0,Mosambik,Afrika Cup
24.12. 18:30,TUR CUP,Samsunspor,2:1,Eyupspor,Türkei Türkiye Kupasi
24.12. 19:00,EGT LC,Arab Contractors,0:0,Talaea El Gaish,Ägypten Liga Cup
24.12. 21:00,AFR CUP,Kamerun,1:0,Gabun,Afrika Cup
25.12. 18:00,NBA,New York Knicks,126:124,Cleveland C.,USA NBA
25.12. 18:00,ISR CUP,Bnei Sakhnin FC,0:2,Maccabi Jaffa,Israel Cup
25.12. 19:00,ISR CUP,Hapoel Tel Aviv,3:0,Ashdod SC,Israel Cup
25.12. 19:00,EGT LC,El Zamalek,0:1,Smouha SC,Ägypten Liga Cup
25.12. 19:00,NFL,Washington Com.,23:30,Dallas Cowboys,USA NFL
25.12. 20:30,NBA,Oklahoma City Th.,102:117,San Antonio Spurs,USA NBA
25.12. 22:30,NFL,Minnesota Vikings,23:10,Detroit Lions,USA NFL
25.12. 23:00,NBA,Golden State W.,126:116,Dallas Mavericks,USA NBA
26.12. 02:00,NBA,LA Lakers,96:119,Houston Rockets,USA NBA
26.12. 02:15,NFL,Kansas City Chiefs,13:20,Denver Broncos,USA NFL
26.12. 04:30,NBA,Denver Nuggets,115:115,Minnesota T.,USA NBA
26.12. 13:30,AFR CUP,Angola,1:1,Simbabwe,Afrika Cup
26.12. 13:30,BEL 1,KRC Genk,3:5,Club Brügge,Belgien Jupiler Pro League
26.12. 13:30,ENG CS,Birmingham City,1:1,Derby County,England Championship
26.12. 14:00,ENG CS,FC Millwall,0:0,Ipswich Town,England Championship
26.12. 16:00,ENG CS,West Bromwich,1:2,Bristol City,England Championship
26.12. 16:00,ENG CS,Stoke City,0:0,Preston North End,England Championship
26.12. 16:00,ENG CS,Sheffield Wednes.,2:2,Hull City,England Championship
26.12. 16:00,ENG CS,FC Portsmouth,1:1,Queens Park R.,England Championship
26.12. 16:00,ENG CS,Oxford United,2:1,FC Southampton,England Championship
26.12. 16:00,ENG CS,Norwich City,1:0,Charlton Athletic,England Championship
26.12. 16:00,ENG CS,Middlesbrough,0:0,Blackburn Rovers,England Championship
26.12. 16:00,ENG CS,Leicester City,1:2,FC Watford,England Championship
26.12. 16:00,ENG CS,Coventry City,1:0,Swansea City,England Championship
26.12. 16:00,BEL 1,Cercle Brügge,1:1,Saint Gilloise,Belgien Jupiler Pro League
26.12. 16:00,AFR CUP,Ägypten,1:0,Südafrika,Afrika Cup
26.12. 17:30,EH AUT,EC Graz 99ers,3:3,Black Wings Linz,win2day ICE Hockey League
26.12. 17:30,EH AUT,Fehervar AV19,2:1,Vienna Capitals,win2day ICE Hockey League
26.12. 18:00,EH AUT,Pion. Vorarlberg,3:3,EC RB Salzburg,win2day ICE Hockey League
26.12. 18:30,ENG CS,Wrexham FC,5:3,Sheffield United,England Championship
26.12. 18:30,BEL 1,Standard Lüttich,1:2,St. Truiden VV,Belgien Jupiler Pro League
26.12. 20:45,BEL 1,RSC Anderlecht,1:2,Sporting Charleroi,Belgien Jupiler Pro League
26.12. 21:00,ENG PL,Manchester United,1:0,Newcastle United,England Premier League
26.12. 21:00,AFR CUP,Marokko,1:1,Mali,Afrika Cup
27.12. 12:30,ITA A,FC Parma,1:0,AC Fiorentina,Italien Serie A
27.12. 13:30,ENG PL,Nottingham Forest,1:2,Manchester City,England Premier League
27.12. 13:30,BEL 1,Royal Antwerpen,2:1,SV Zulte Waregem,Belgien Jupiler Pro League
27.12. 13:30,SCO PS,Hibernian FC,3:2,Heart of Midl.,Schottland Premiership
27.12. 14:30,EH AUT,EC KAC,5:2,EC VSV,win2day ICE Hockey League
27.12. 15:00,ITA A,US Lecce,0:3,Como Calcio,Italien Serie A
27.12. 15:00,ITA A,FC Torino,1:2,Cagliari Calcio,Italien Serie A
27.12. 16:00,ENG PL,FC Arsenal,2:1,Brighton & Hove FC,England Premier League
27.12. 16:00,ENG PL,FC Liverpool,2:1,Wolverhampton,England Premier League
27.12. 16:00,ENG PL,West Ham United,0:1,FC Fulham,England Premier League
27.12. 16:00,ENG PL,FC Burnley,0:0,FC Everton,England Premier League
27.12. 16:00,ENG PL,FC Brentford,4:1,AFC Bournemouth,England Premier League
27.12. 16:00,AFR CUP,Senegal,1:1,DR Kongo,Afrika Cup
27.12. 16:00,BEL 1,RAAL La Louviere,0:0,OH Leuven,Belgien Jupiler Pro League
27.12. 16:00,SCO PS,FC St. Mirren,0:0,FC Kilmarnock,Schottland Premiership
27.12. 16:00,SCO PS,Glasgow Rangers,1:0,FC Motherwell,Schottland Premiership
27.12. 16:00,SCO PS,FC Livingston,2:4,Celtic Glasgow,Schottland Premiership
27.12. 18:00,ITA A,Udinese Calcio,1:1,Lazio Rom,Italien Serie A
27.12. 18:15,BEL 1,KV Mechelen,1:1,FCV Dender EH,Belgien Jupiler Pro League
27.12. 18:30,ENG PL,FC Chelsea,1:2,Aston Villa,England Premier League
27.12. 18:45,SCO PS,FC Aberdeen,1:1,Dundee United,Schottland Premiership
27.12. 20:45,ITA A,SC Pisa,0:2,Juventus Turin,Italien Serie A
