Date,League,Team 1,Score,Team 2,League Name
27.01. 17:45,HE-RTL,"Odermatt, Marco",Odermat,Brennsteiner S.,"Ski Alpin, Herren Riesentorlauf"
27.01. 17:45,HE-RTL,"P. Braathen, Lucas",Braathe,"Schwarz, Marco","Ski Alpin, Herren Riesentorlauf"
27.01. 17:45,HE-RTL,Kristoffersen H.,Meillar,"Meillard, Loic","Ski Alpin, Herren Riesentorlauf"
27.01. 17:45,HE-RTL,"McGrath, Atle Lie",Haugan,"Haugan, Timon","Ski Alpin, Herren Riesentorlauf"
27.01. 17:45,HE-RTL,"Haaser, Raphael",Haaser,"Anguenot, Leo","Ski Alpin, Herren Riesentorlauf"
27.01. 19:15,EH AUT,HK Olimpija,5:2,Pion. Vorarlberg,win2day ICE Hockey League
27.01. 19:30,EH GER,Schwenninger W.W.,3:1,EHC München,Deutschland Eishockey Liga
27.01. 19:30,EH GER,Straubing Tigers,3:1,Nürnberg Ice Tiger,Deutschland Eishockey Liga
27.01. 19:30,EH GER,Iserlohn Roosters,1:2,Adler Mannheim,Deutschland Eishockey Liga
27.01. 19:30,EH GER,ERC Ingolstadt,4:1,Dresdner Eislöwen,Deutschland Eishockey Liga
27.01. 19:30,EH GER,Bremerhaven P.,2:2,EHC Wolfsburg,Deutschland Eishockey Liga
27.01. 19:30,EH GER,Augsburger Panth.,2:1,Eisbären Berlin,Deutschland Eishockey Liga
27.01. 19:30,EH GER,Kölner Haie,1:4,Löwen Frankfurt,Deutschland Eishockey Liga
27.01. 19:45,EH SUI,SCL Tigers Langnau,3:3,SC Bern,Schweiz National League A
27.01. 19:45,EH SUI,HC Lugano,7:3,Rapperswil Lakers,Schweiz National League A
27.01. 19:45,EH SUI,EHC Kloten Flyers,2:4,Zürcher SC Lions,Schweiz National League A
27.01. 19:45,EH SUI,HC Davos,4:1,EV Zug,Schweiz National League A
27.01. 19:45,EH SUI,EHC Biel Bienne,6:3,HC Ajoie,Schweiz National League A
27.01. 20:00,NL 2,FC Emmen,abgesagt,SC Cambuur,Niederlande Eerste Divisie
