Num,Date,Time,League,Team 1,Score,Team 2,League Name
097,16.08.,22:00,ESP 2,Real Saragossa,0:1,Elche CF,Spanien Segunda Division
098,16.08.,21:00,EL,FC Sevilla ESP*,2:1,Manchester U. ENG,UEFA Europa League
099,16.08.,21:00,EL,FC Sevilla,2:2,Manchester Utd.+1,UEFA Europa League
100,16.08.,21:00,EL,FC Sevilla+1,3:1,Manchester United,UEFA Europa League
101,17.08.,12:00,CHN SL,Wuhan Zall,2:0,Chongqing Lifan,China Chinese Super League
102,17.08.,14:00,CHN SL,Hebei China Fortun,2:0,FC Tianjin Taida,China Chinese Super League
103,17.08.,16:45,BUL 1,Tsarsko Selo Sofia,0:0,PFC Montana 1921,Bulgarien Premier League
104,17.08.,19:00,BEL 1,Waasland-Beveren,1:2,Standard Lüttich,Belgien Jupiler Pro League
105,17.08.,19:00,BUL 1,Beroe Stara Zag.,0:0,CSKA 1948,Bulgarien Premier League
106,17.08.,19:00,SWE 1,BK Häcken,2:1,Varbergs BoIS,Schweden Allsvenskan
107,17.08.,19:00,SWE 1,Helsingborgs IF,1:2,IK Sirius FK,Schweden Allsvenskan
108,17.08.,19:00,SWE 1,Östersunds FK,2:0,Kalmar FF,Schweden Allsvenskan
109,17.08.,19:00,SWE 1,IFK Göteborg,1:3,IFK Norrköping,Schweden Allsvenskan
110,17.08.,19:00,SWE 2,AFC Eskilstuna,1:2,Akropolis IF,Schweden Superettan
111,17.08.,19:00,HUN 1,Budafoki MTE,2:1,Varda SE,Ungarn NB I
112,17.08.,20:00,ISL 1,FH Hafnarfjördur,1:2,Stjarnan Gardab.,Island Urvalsdeild
113,17.08.,20:30,NOR 1,IK Start,2:1,Valerenga IF,Norwegen Tippeligaen
114,17.08.,20:45,IRL 2,FC Drogheda United,1:0,FC Galway United,Irland First Division
115,17.08.,20:45,IRL 2,UC Dublin,2:1,FC Athlone Town,Irland First Division
116,17.08.,21:00,EL,Inter Mailand ITA*,5:0,Shakhtar Don. UKR,UEFA Europa League
117,17.08.,21:00,EL,Inter Mailand,5:1,Shakhtar Donetsk+1,UEFA Europa League
118,17.08.,21:00,EL,Inter Mailand,5:2,Shakhtar Donetsk+2,UEFA Europa League
119,17.08.,21:00,NHL,Columbus Blue J.*,1:2,Tampa Bay Lightn.,USA NHL
120,17.08.,23:30,NHL,Arizona Coyotes*,1:7,Colorado Avalan.,USA NHL
