Date,League,Team 1,Score,Team 2,League Name
22.08. 18:00,ROU 2,Chindia Targoviste,1:1,FC Gloria Buzau,"Rumänien, Liga 2"
22.08. 18:30,AUT 2,SV Horn,2:1,FC Liefering,Österreich Zweite Liga
22.08. 18:30,AUT 2,SV Horn+1,3:1,FC Liefering,Österreich Zweite Liga
22.08. 19:00,GER 3,Preussen Münster,3:1,FC Ingolstadt,Deutschland 3. Liga
22.08. 19:00,GER 3,Hallescher FC,1:1,MSV Duisburg,Deutschland 3. Liga
22.08. 19:00,GER 3,Dynamo Dresden,2:1,W. Mannheim,Deutschland 3. Liga
22.08. 19:00,GER 3,SSV Ulm 1846,1:0,Arminia Bielefeld,Deutschland 3. Liga
22.08. 19:00,GER 3,TSV 1860 München,1:2,VfB Lübeck,Deutschland 3. Liga
22.08. 19:00,DEN 2,Naestved BK,0:1,B93 Kopenhagen,Dänemark 1. Division
22.08. 19:00,DEN 2,FC Fredericia,2:0,AC Horsens,Dänemark 1. Division
22.08. 20:45,SCO 1,FC Falkirk,3:0,Stirling Albion,Schottland League One
22.08. 20:45,NIRL 1,FC Linfield,2:1,FC Cliftonville,Nordirland JJB Sports Premiership
22.08. 20:45,NIRL 1,Crusaders Belfast,9:0,FC Carrick Rangers,Nordirland JJB Sports Premiership
22.08. 21:00,CL,Rakow Czestoch POL,0:1,FC Kopenhagen DEN,UEFA Champions League
22.08. 21:00,CL,Rakow Czestochowa,0:2,FC Kopenhagen+1,UEFA Champions League
22.08. 21:00,CL,Rakow Czestochow+1,1:1,FC Kopenhagen,UEFA Champions League
22.08. 21:00,CL,Gl.Rangers SCO,2:2,PSV Eindhoven NED,UEFA Champions League
22.08. 21:00,CL,Glasgow Rangers,2:3,PSV Eindhoven+1,UEFA Champions League
22.08. 21:00,CL,Glasgow Rangers+1,3:2,PSV Eindhoven,UEFA Champions League
22.08. 21:00,CL,R. Antwerpen BEL,1:0,AEK Athen GRE,UEFA Champions League
22.08. 21:00,CL,Royal Antwerpen,1:1,AEK Athen+1,UEFA Champions League
22.08. 21:00,CL,Royal Antwerpen+1,2:0,AEK Athen,UEFA Champions League
23.08. 00:00,COPA L,Bolivar La Paz BOL,0:1,Internacional BRA,Copa Libertadores
23.08. 00:00,BRA 2,Mirassol FC SP,0:1,EC Juventude RS,Brasilien Brasilero Serie B
23.08. 01:15,COL 1,Jaguares Cordoba,0:1,UM Santa Marta,Kolumbien Primera Liga
23.08. 02:30,COPA S,Corinthians SP BRA,1:0,Estudiantes LP ARG,Copa Sudamericana
23.08. 02:30,BRA 2,Criciuma EC SC,1:0,Vila Nova GO,Brasilien Brasilero Serie B
23.08. 03:00,MEX 1,Mazatlan FC,1:0,FC Puebla,Mexiko Primera Division
23.08. 03:00,MEX 1,Guadalajara Chivas,1:0,Club Tijuana,Mexiko Primera Division
23.08. 05:05,MEX 1,FC Juarez,4:1,UNAM Pumas,Mexiko Primera Division
23.08. 17:00,FIN CUP,FC Honka,1:0,IFK Mariehamn,Finnland Cup
23.08. 18:00,FIN CUP,Tampereen Ilves,1:0,AC Oulu,Finnland Cup
23.08. 18:00,NOR 2,IK Start,1:0,Aasane Fotball,Norwegen Adeccoligaen
23.08. 18:00,NOR 2,Skeid Fotball,0:1,Ranheim IL,Norwegen Adeccoligaen
23.08. 18:00,NOR 2,Raufoss IL,3:0,Sogndal Fotball,Norwegen Adeccoligaen
23.08. 18:00,NOR 2,Mjöndalen,2:2,FK Jerv,Norwegen Adeccoligaen
23.08. 18:00,NOR 2,Kristiansund BK,0:1,Sandnes Ulf,Norwegen Adeccoligaen
