Date,League,Team 1,Score,Team 2,League Name
07.01. 17:00,TUR CUP,Sivasspor,0:1,Besiktas Istanbul,Türkei Türkiye Kupasi
07.01. 18:00,CYP 1,Apollon Limassol,1:1,Aris Limassol,Zypern 1. Division
07.01. 18:30,CYP 1,Omonia Nikosia,0:2,Anorthosis,Zypern 1. Division
07.01. 19:00,TUR CUP,Antalyaspor,3:1,Kocaelispor,Türkei Türkiye Kupasi
07.01. 19:30,EH GER,Straubing Tigers,1:1,Adler Mannheim,Deutschland Eishockey Liga
07.01. 19:30,EH GER,Kölner Haie,5:3,Eisbären Berlin,Deutschland Eishockey Liga
07.01. 20:45,ENG 1,Wycombe Wanderers,0:1,Huddersfield Town,England League One
07.01. 20:45,POR LC,Sporting Lissabon,1:0,FC Porto,Portugal Liga Cup
07.01. 20:45,BEL CUP,Club Brügge,3:0,OH Leuven,Belgium Beker van Belgie
07.01. 20:45,BEL CUP,St. Truiden VV,0:4,KRC Genk,Belgium Beker van Belgie
07.01. 21:00,ENG LC,FC Arsenal,0:2,Newcastle United,England - EFL Cup
07.01. 21:00,ESP CUP,CD Eldense,0:2,FC Valencia,Spanien Copa del Rey
07.01. 21:30,ESP 2,Teneriffa CD,0:3,Levante UD,Spanien Segunda Division
08.01. 17:00,GRE CUP,Asteras Tripolis,2:0,Panionios Athen,Griechenland Cup
08.01. 17:45,HE-SL,"Noel, Clement",Kristof,Kristoffersen H.,"Ski Alpin, Herren Slalom"
08.01. 17:45,HE-SL,"Haugan, Timon",Meillar,"Meillard, Loic","Ski Alpin, Herren Slalom"
08.01. 17:45,HE-SL,"McGrath, Atle Lie",Tipp X,"Feller, Manuel","Ski Alpin, Herren Slalom"
08.01. 17:45,HE-SL,"Strasser, Linus",Strasse,"P. Braathen, Lucas","Ski Alpin, Herren Slalom"
08.01. 18:30,TUR CUP,Galatasaray,2:2,Basaksehir,Türkei Türkiye Kupasi
08.01. 18:30,EH AUT,EC Graz 99ers,2:1,HC Bozen Foxes,win2day ICE Hockey League
08.01. 19:15,EH AUT,EC RB Salzburg,4:1,Fehervar AV19,win2day ICE Hockey League
08.01. 19:15,EH AUT,EC KAC,8:0,EC VSV,win2day ICE Hockey League
08.01. 19:15,EH AUT,Black Wings Linz,3:3,Vienna Capitals,win2day ICE Hockey League
08.01. 19:30,GRE CUP,Panathinaikos,2:1,Atromitos Athen,Griechenland Cup
08.01. 19:30,EH GER,Augsburger Panth.,2:6,Bremerhaven P.,Deutschland Eishockey Liga
08.01. 20:00,ESP SC,Athletic Bilbao*,0:2,FC Barcelona,Spanien Supercopa
08.01. 20:45,POR LC,Benfica Lissabon,3:0,Sporting Braga,Portugal Liga Cup
08.01. 20:45,BEL CUP,Royal Antwerpen,5:1,Saint Gilloise,Belgium Beker van Belgie
08.01. 20:45,SCO PS,FC Kilmarnock,0:0,FC Motherwell,Schottland Premiership
08.01. 20:45,SCO PS,Celtic Glasgow,2:0,Dundee United,Schottland Premiership
08.01. 21:00,ENG LC,Tottenham,1:0,FC Liverpool,England - EFL Cup
09.01. 18:30,TUR CUP,Kasimpasa,0:3,Fenerbahce,Türkei Türkiye Kupasi
09.01. 18:30,GRE CUP,PAOK Thessaloniki,1:0,AEK Athen,Griechenland Cup
09.01. 19:00,EH SWE,Malmö Redhawks,4:1,Lulea Hockey,Schweden Elitserien
09.01. 19:00,EH SWE,Växjö Lakers,2:2,Frölunda HC,Schweden Elitserien
09.01. 19:00,EH SWE,HV 71,2:5,Timra IK,Schweden Elitserien
09.01. 19:00,EH SWE,Örebro Hockey,2:4,Färjestads BK,Schweden Elitserien
09.01. 19:00,EH SWE,Leksands IF,2:1,Brynas IF,Schweden Elitserien
09.01. 19:30,EH GER,Adler Mannheim,3:9,Eisbären Berlin,Deutschland Eishockey Liga
09.01. 20:00,ENG FA,Sheffield United,0:1,Cardiff City,England FA Cup
09.01. 20:00,ESP SC,Real Madrid*,3:0,RCD Mallorca,Spanien Supercopa
09.01. 20:00,EH SUI,Fribourg Gotteron,3:3,HC Davos,Schweiz National League A
09.01. 20:30,BEL CUP,Beerschot VA,0:1,RSC Anderlecht,Belgium Beker van Belgie
09.01. 20:45,ENG FA,FC Fulham,4:1,FC Watford,England FA Cup
09.01. 20:45,ENG FA,FC Everton,2:0,Peterborough Utd.,England FA Cup
09.01. 21:00,SCO PS,FC Dundee,1:1,Glasgow Rangers,Schottland Premiership
10.01. 18:30,EH AUT,EC Graz 99ers,2:5,Fehervar AV19,win2day ICE Hockey League
10.01. 19:00,FRA 1,FC Nantes,2:2,AS Monaco,Frankreich Ligue 1
10.01. 19:15,EH AUT,Vienna Capitals,4:2,HC Asiago,win2day ICE Hockey League
10.01. 19:15,EH AUT,HK Olimpija,1:2,EC RB Salzburg,win2day ICE Hockey League
10.01. 19:15,EH AUT,Black Wings Linz,5:1,EC VSV,win2day ICE Hockey League
10.01. 19:45,EH AUT,HC Pustertal,4:3,EC KAC,win2day ICE Hockey League
10.01. 20:00,FRA 2,Stade Laval,1:1,Red Star FC,Frankreich Ligue 2
10.01. 20:00,NL 1,Fortuna Sittard,0:3,Go Ahead Eagles,Niederlande Eredivisie
10.01. 20:30,ESP 2,Granada CF,0:0,Burgos CF,Spanien Segunda Division
10.01. 20:45,GER BL,Borussia Dortmund,2:3,Bayer Leverkusen,Deutschland Bundesliga
