Date,League,Team 1,Score,Team 2,League Name
30.12. 18:30,ITA A,Como Calcio,2:0,US Lecce,Italien Serie A
30.12. 19:15,EH AUT,Fehervar AV19,3:0,EC Graz 99ers,win2day ICE Hockey League
30.12. 19:15,EH AUT,EC RB Salzburg,3:1,HC Innsbruck,win2day ICE Hockey League
30.12. 19:15,EH AUT,EC KAC,3:0,HC Asiago,win2day ICE Hockey League
30.12. 19:15,EH AUT,HK Olimpija,5:3,Vienna Capitals,win2day ICE Hockey League
30.12. 19:30,EH GER,ERC Ingolstadt,6:2,Adler Mannheim,Deutschland Eishockey Liga
30.12. 19:30,EH GER,EHC München,3:2,EHC Wolfsburg,Deutschland Eishockey Liga
30.12. 19:30,EH GER,Augsburger Panth.,2:4,Eisbären Berlin,Deutschland Eishockey Liga
30.12. 19:30,EH GER,Kölner Haie,2:2,Löwen Frankfurt,Deutschland Eishockey Liga
30.12. 19:45,EH AUT,HC Bozen Foxes,3:2,EC VSV,win2day ICE Hockey League
30.12. 20:45,ITA A,Bologna FC,2:3,Hellas Verona,Italien Serie A
30.12. 20:45,ENG PL,Ipswich Town,2:0,FC Chelsea,England Premier League
30.12. 20:45,ENG PL,Aston Villa,2:2,Brighton & Hove,England Premier League
30.12. 21:00,ENG PL,Manchester United,0:2,Newcastle United,England Premier League
30.12. 21:15,POR 1,FC Famalicao,1:2,CD Santa Clara,Portugal Primeira Liga
31.12. 13:30,WAL 1,Bala Town,abgesagt,Caernarfon Town,Wales Premier League
31.12. 13:30,WAL 1,Briton Ferry,0:0,FC Barry Town,Wales Premier League
31.12. 15:30,WAL 1,The New Saints,2:1,Connah's Quay,Wales Premier League
31.12. 16:00,SCO CS,Greenock Morton,2:1,Partick Thistle,Schottland Championship
31.12. 18:30,NHL,Washington Cap.,3:1,Boston Bruins,USA NHL
31.12. 18:30,ISR 1,Ironi Tiberias,3:1,Ironi K. Shmona,Israel Premier League
31.12. 18:45,ISR 1,Mac. Petach Tikva,0:0,Hapoel Hadera,Israel Premier League
31.12. 18:45,WAL 1,Pen-y-Bont FC,2:2,Cardiff MU,Wales Premier League
31.12. 19:00,ISR 1,Ashdod SC,3:5,Bnei Sakhnin FC,Israel Premier League
31.12. 19:00,NHL,Toronto Maple L.,3:1,NY Islanders,USA NHL
31.12. 21:00,NHL,Vegas Gold.Knights,2:3,Montreal Canad.,USA NHL
01.01. 13:30,ENG CS,Queens Park R.,3:1,FC Watford,England Championship
01.01. 13:30,ENG CS,Plymouth Argyle,2:2,Bristol City,England Championship
01.01. 14:00,ENG CS,FC Millwall,0:1,Oxford United,England Championship
01.01. 16:00,ENG CS,Leeds United,1:1,Blackburn Rovers,England Championship
01.01. 16:00,ENG CS,West Bromwich,3:1,Preston North End,England Championship
01.01. 16:00,ENG CS,Sheffield Wednes.,4:2,Derby County,England Championship
01.01. 16:00,ENG CS,Luton Town,0:1,Norwich City,England Championship
01.01. 16:00,ENG CS,FC Burnley,0:0,Stoke City,England Championship
01.01. 17:30,EH AUT,Vienna Capitals,4:7,EC KAC,win2day ICE Hockey League
01.01. 17:30,EH AUT,EC VSV,4:4,Fehervar AV19,win2day ICE Hockey League
01.01. 18:00,EH AUT,Black Wings Linz,2:4,EC RB Salzburg,win2day ICE Hockey League
01.01. 18:30,ENG PL,FC Brentford,1:3,FC Arsenal,England Premier League
01.01. 18:30,ENG CS,Hull City,0:1,Middlesbrough,England Championship
01.01. 21:00,ENG CS,AFC Sunderland,2:1,Sheffield United,England Championship
02.01. 16:00,SCO PS,Glasgow Rangers,3:0,Celtic Glasgow,Schottland Premiership
02.01. 16:00,SCO PS,Heart of Midl.,1:0,FC Motherwell,Schottland Premiership
02.01. 16:00,SCO PS,FC St. Johnstone,1:1,Hibernian FC,Schottland Premiership
02.01. 16:00,SCO PS,FC Kilmarnock,2:0,FC St. Mirren,Schottland Premiership
02.01. 16:00,SCO PS,FC Aberdeen,1:2,FC Ross County,Schottland Premiership
02.01. 18:00,CYP 1,Anorthosis,0:2,FC Pafos,Zypern 1. Division
02.01. 18:00,CYP 1,AEL Limassol,0:1,Apollon Limassol,Zypern 1. Division
02.01. 18:30,SCO PS,FC Dundee,1:2,Dundee United,Schottland Premiership
02.01. 19:30,EH GER,Düsseldorfer EG,4:1,ERC Ingolstadt,Deutschland Eishockey Liga
02.01. 19:45,EH SUI,HC Servette Genf,6:4,EHC Biel Bienne,Schweiz National League A
02.01. 19:45,EH SUI,SC Bern,1:4,HC Lugano,Schweiz National League A
02.01. 19:45,EH SUI,HC Ambri Piotta,1:2,SCL Tigers Langnau,Schweiz National League A
02.01. 19:45,EH SUI,Rapperswil Lakers,5:3,EV Zug,Schweiz National League A
02.01. 20:00,ITA SC,Inter Mailand*,2:0,Atalanta Bergamo,Italien Supercoppa
03.01. 19:00,ESP CUP,Granada CF,0:0,Getafe CF,Spanien Copa del Rey
03.01. 19:00,ESP CUP,Pontevedra CF,3:0,RCD Mallorca,Spanien Copa del Rey
03.01. 19:00,ESP CUP,Racing de Ferrol,1:3,Rayo Vallecano,Spanien Copa del Rey
03.01. 19:00,POR 1,CD Nacional,abgesagt,FC Porto,Portugal Primeira Liga
