Date,League,Team 1,Score,Team 2,League Name
05.11. 18:45,CL,PSV Eindhoven NED,4:0,FC Girona ESP,UEFA Champions League
05.11. 18:45,CL,PSV Eindhoven,4:1,FC Girona+1,UEFA Champions League
05.11. 18:45,CL,Slov. Bratisl. SVK,1:4,Dinamo Zagreb CRO,UEFA Champions League
05.11. 18:45,CL,Slov. Bratislava+1,2:4,NK Dinamo Zagreb,UEFA Champions League
05.11. 20:00,ENG LTR,Cheltenham Town,1:0,FC Reading,England Football League Trophy
05.11. 20:45,ENG 1,Stockport County,0:5,Wycombe Wanderers,England League One
05.11. 20:45,ENG 1,Burton Albion,0:0,Crawley Town,England League One
05.11. 20:45,ENG CS,Sheffield Wednes.,2:0,Norwich City,England Championship
05.11. 20:45,ENG CS,Queens Park R.,1:4,Middlesbrough,England Championship
05.11. 20:45,ENG CS,Oxford United,1:0,Hull City,England Championship
05.11. 20:45,ENG CS,Bristol City,1:2,Sheffield United,England Championship
05.11. 21:00,ENG CS,Swansea City,1:0,FC Watford,England Championship
05.11. 21:00,ENG CS,Plymouth Argyle,1:0,FC Portsmouth,England Championship
05.11. 21:00,CL,Bor. Dortmund GER,1:0,SK Sturm Graz AUT,UEFA Champions League
05.11. 21:00,CL,Borussia Dortmund,1:1,SK Sturm Graz+1,UEFA Champions League
05.11. 21:00,CL,Borussia Dortmund,1:2,SK Sturm Graz+2,UEFA Champions League
05.11. 21:00,CL,Sporting Liss. POR,4:1,Man. City ENG,UEFA Champions League
05.11. 21:00,CL,Sporting Lissab.+1,5:1,Manchester City,UEFA Champions League
05.11. 21:00,CL,Real Madrid ESP,1:3,AC Milan ITA,UEFA Champions League
05.11. 21:00,CL,Real Madrid,1:4,AC Milan+1,UEFA Champions League
05.11. 21:00,CL,Lille OSC FRA,1:1,Juventus Turin ITA,UEFA Champions League
05.11. 21:00,CL,Lille OSC,1:2,Juventus Turin+1,UEFA Champions League
05.11. 21:00,CL,Lille OSC+1,2:1,Juventus Turin,UEFA Champions League
05.11. 21:00,CL,FC Liverpool ENG,4:0,Leverkusen GER,UEFA Champions League
05.11. 21:00,CL,FC Liverpool,4:1,Bay. Leverkusen+1,UEFA Champions League
05.11. 21:00,CL,Celtic Glasgow SCO,3:1,RB Leipzig GER,UEFA Champions League
05.11. 21:00,CL,Celtic Glasgow+1,4:1,RB Leipzig,UEFA Champions League
