Date,League,Team 1,Score,Team 2,League Name
24.01. 18:00,TUR 1,Samsunspor,2:1,Gaziantep FK,Türkei Süper Lig
24.01. 18:00,TUR 2,Ümraniyespor,1:0,Sanliurfaspor,Türkei TFF 1. Lig
24.01. 18:00,CYP 1,AEL Limassol,0:0,Salamis Famagusta,Zypern 1. Division
24.01. 18:00,CRO 1,NK Osijek,2:2,HNK Sibenik,Kroatien 1. HNL
24.01. 18:30,GER 2,FC Magdeburg,1:1,E. Braunschweig,Deutschland 2. Bundesliga
24.01. 18:30,GER 2,Greuther Fürth,2:4,FC Kaiserslautern,Deutschland 2. Bundesliga
24.01. 19:00,GER 3,FC Viktoria Köln,1:0,W. Mannheim,Deutschland 3. Liga
24.01. 19:00,POR 2,Academico Viseu,2:1,CD Feirense,Portugal Segunda Liga
24.01. 19:00,GRE 1,Volos NFC,0:1,Atromitos Athen,Griechenland Super League
24.01. 19:00,ROU 1,Dinamo Bukarest,0:0,Universitatea Cluj,Rumänien Liga 1
24.01. 19:15,EH AUT,EC RB Salzburg,5:0,EC KAC,win2day ICE Hockey League
24.01. 19:15,EH AUT,HC Innsbruck,2:5,HC Pustertal,win2day ICE Hockey League
24.01. 19:15,EH AUT,EC VSV,6:3,Vienna Capitals,win2day ICE Hockey League
24.01. 19:30,EH AUT,Pion. Vorarlberg,2:1,Black Wings Linz,win2day ICE Hockey League
24.01. 19:30,SUI 2,FC Stade Nyonnais,1:2,FC Aarau,Schweiz Challenge League
24.01. 19:30,SUI 2,Xamax Neuchatel,1:2,Lausanne-Ouchy,Schweiz Challenge League
24.01. 19:45,EH AUT,HC Bozen Foxes,4:5,EC Graz 99ers,win2day ICE Hockey League
24.01. 20:00,NL 1,Heracles Almelo,1:1,FC Utrecht,Niederlande Eredivisie
24.01. 20:15,SUI 2,FC Thun,3:1,FC Vaduz,Schweiz Challenge League
24.01. 20:15,SUI 2,Etoile Carouge FC,1:1,FC Wil 1900,Schweiz Challenge League
24.01. 20:30,GER BL,VfL Wolfsburg,2:2,Holstein Kiel,Deutschland Bundesliga
24.01. 20:30,GER BL,VfL Wolfsburg,2:3,Holstein Kiel+1,Deutschland Bundesliga
24.01. 20:30,ESP 2,Elche CF,2:0,SD Eibar,Spanien Segunda Division
24.01. 20:30,ITA B,Spezia Calcio,2:1,US Sassuolo,Italien Serie B
24.01. 20:45,ITA A,FC Torino,2:0,Cagliari Calcio,Italien Serie A
24.01. 20:45,FRA 1,AJ Auxerre,1:1,AS Saint Etienne,Frankreich Ligue 1
24.01. 20:45,BEL 1,St. Truiden VV,1:1,Royal Antwerpen,Belgien Jupiler Pro League
24.01. 21:00,ESP 1,UD Las Palmas,1:1,CA Osasuna,Spanien La Liga
24.01. 21:00,ENG CS,Sheffield United,0:3,Hull City,England Championship
24.01. 21:15,POR 1,FC Arouca,1:0,Moreirense FC,Portugal Primeira Liga
25.01. 09:40,TEN WTA,"Sabalenka, Aryna",1:2,"Keys, Madison",Tennis WTA
25.01. 13:00,GER 2,FC Schalke 04,3:1,1. FC Nürnberg,Deutschland 2. Bundesliga
25.01. 13:00,GER 2,Karlsruher SC,2:3,Fortuna Düsseldorf,Deutschland 2. Bundesliga
25.01. 13:00,GER 2,1. FC Köln,1:0,SV 07 Elversberg,Deutschland 2. Bundesliga
25.01. 14:00,ESP 1,RCD Mallorca,0:1,Betis Sevilla,Spanien La Liga
25.01. 15:00,ITA A,Como Calcio,1:2,Atalanta Bergamo,Italien Serie A
25.01. 15:30,GER BL,FSV Mainz 05,2:0,VfB Stuttgart,Deutschland Bundesliga
25.01. 15:30,GER BL,FC Augsburg,2:1,FC Heidenheim,Deutschland Bundesliga
25.01. 15:30,GER BL,SC Freiburg,1:2,Bayern München,Deutschland Bundesliga
25.01. 15:30,GER BL,SC Freiburg+1,2:2,Bayern München,Deutschland Bundesliga
25.01. 15:30,GER BL,Borussia Dortmund,2:2,SV Werder Bremen,Deutschland Bundesliga
25.01. 15:30,GER BL,Borussia Dortmund,2:3,SV Werder Bremen+1,Deutschland Bundesliga
25.01. 15:30,GER BL,RB Leipzig,2:2,Bayer Leverkusen,Deutschland Bundesliga
25.01. 15:30,GER BL,RB Leipzig+1,3:2,Bayer Leverkusen,Deutschland Bundesliga
25.01. 15:30,HB WM,Niederlande,37:37,Österreich,Handball WM Männer
25.01. 16:00,ENG PL,Wolverhampton,0:1,FC Arsenal,England Premier League
25.01. 16:00,ENG PL,FC Southampton,1:3,Newcastle United,England Premier League
25.01. 16:00,ENG PL,FC Liverpool,4:1,Ipswich Town,England Premier League
25.01. 16:00,ENG PL,FC Liverpool,4:3,Ipswich Town+2,England Premier League
25.01. 16:00,ENG PL,Brighton & Hove,0:1,FC Everton,England Premier League
25.01. 16:00,ENG PL,AFC Bournemouth,5:0,Nottingham Forest,England Premier League
25.01. 16:15,ESP 1,Atletico Madrid,1:1,Villarreal CF,Spanien La Liga
25.01. 17:00,FRA 1,AS Monaco,3:2,Stade Rennes,Frankreich Ligue 1
25.01. 17:00,TUR 1,Galatasaray,1:0,Konyaspor,Türkei Süper Lig
25.01. 18:00,ITA A,SSC Napoli,2:1,Juventus Turin,Italien Serie A
25.01. 18:30,GER BL,Mönchengladbach,3:0,VfL Bochum,Deutschland Bundesliga
25.01. 18:30,ENG PL,Manchester City,3:1,FC Chelsea,England Premier League
25.01. 18:30,ENG PL,Manchester City,3:2,FC Chelsea+1,England Premier League
25.01. 18:30,ESP 1,FC Sevilla,1:1,Espanyol Barcelona,Spanien La Liga
25.01. 19:00,FRA 1,Racing Strasbourg,2:1,Lille OSC,Frankreich Ligue 1
25.01. 19:45,EH AUT,HC Pustertal,3:3,EC Graz 99ers,win2day ICE Hockey League
25.01. 20:30,GER 2,Hertha BSC,2:3,Hamburger SV,Deutschland 2. Bundesliga
25.01. 20:45,ITA A,FC Empoli,1:1,Bologna FC,Italien Serie A
25.01. 21:00,ESP 1,Real Valladolid,0:3,Real Madrid,Spanien La Liga
25.01. 21:05,FRA 1,Paris SG,1:1,Stade de Reims,Frankreich Ligue 1
26.01. 09:40,TEN ATP,"Sinner, Jannik",3:0,"Zverev, Alexander",Tennis ATP
26.01. 10:15,HE-SL,"McGrath, Atle Lie",Tipp X,Kristoffersen H.,"Ski Alpin, Herren Slalom"
26.01. 10:15,HE-SL,"Noel, Clement",Noel C.,"Meillard, Loic","Ski Alpin, Herren Slalom"
26.01. 10:15,HE-SL,"Feller, Manuel",Feller,"Haugan, Timon","Ski Alpin, Herren Slalom"
26.01. 10:15,HE-SL,"P. Braathen, Lucas",Braathe,"Strasser, Linus","Ski Alpin, Herren Slalom"
26.01. 10:15,HE-SL,"Schwarz, Marco",Schwarz,"Yule, Daniel","Ski Alpin, Herren Slalom"
26.01. 12:30,ITA A,AC Milan,3:2,FC Parma,Italien Serie A
26.01. 13:30,GER 2,SSV Ulm 1846,5:1,Jahn Regensburg,Deutschland 2. Bundesliga
