Date,League,Team 1,Score,Team 2,League Name
24.12. 17:00,TUR 2,Altay Izmir,2:1,Keciöerengücü,Türkei TFF 1. Lig
24.12. 19:00,NFL,Minnesota Vikings,24:30,Detroit Lions,USA NFL
24.12. 19:00,NFL,Houston Texans,22:36,Cleveland Browns,USA NFL
24.12. 22:25,NFL,Miami Dolphins,22:20,Dallas Cowboys,USA NFL
25.12. 12:00,TUR 2,Manisa FK,1:1,Sanliurfaspor,Türkei TFF 1. Lig
25.12. 14:00,EG SC,Future FC*,0:0,Pyramids FC,"Ägypten, Supercup"
25.12. 15:00,EGY 1,El Gouna FC,1:2,Enppi Club,Ägypten Premier League
25.12. 15:00,TUR 1,Alanyaspor,3:1,Samsunspor,Türkei Süper Lig
25.12. 15:00,TUR 1,Kasimpasa,2:2,Caykur Rizespor,Türkei Süper Lig
25.12. 15:00,TUR 2,Corum Belediyespor,2:0,Boluspor,Türkei TFF 1. Lig
25.12. 18:00,TUR 1,Pendikspor,1:1,MKE Ankaragücü,Türkei Süper Lig
25.12. 18:00,TUR 1,Hatayspor,1:2,Besiktas Istanbul,Türkei Süper Lig
25.12. 18:00,TUR 2,Eyupspor,3:0,Erzurumspor FK,Türkei TFF 1. Lig
25.12. 18:00,EG SC,Al Ahly Kairo*,1:0,Ceramica Cleopatra,"Ägypten, Supercup"
25.12. 18:00,EGY 1,Baladiyyat Mehalla,0:2,Nat. Bank Egypt,Ägypten Premier League
25.12. 19:00,NFL,Kansas City Chiefs,14:20,Las Vegas Raiders,USA NFL
25.12. 20:30,NBA,Denver Nuggets,120:114,Golden State W.,USA NBA
25.12. 23:00,NBA,LA Lakers,115:126,Boston Celtics,USA NBA
26.12. 02:15,NFL,San Francisco 49,19:33,Baltimore Ravens,USA NFL
26.12. 13:30,BEL 1,KRC Genk,3:0,Royal Antwerpen,Belgien Jupiler Pro League
26.12. 13:30,ENG PL,Newcastle United,1:3,Nottingham Forest,England Premier League
26.12. 13:30,ENG CS,Preston North End,2:1,Leeds United,England Championship
26.12. 14:00,ENG CS,FC Millwall,2:0,Queens Park R.,England Championship
26.12. 16:00,ENG PL,Sheffield United,2:3,Luton Town,England Premier League
26.12. 16:00,ENG PL,AFC Bournemouth,3:0,FC Fulham,England Premier League
26.12. 16:00,ENG CS,West Bromwich,1:0,Norwich City,England Championship
26.12. 16:00,ENG CS,FC Southampton,5:0,Swansea City,England Championship
26.12. 16:00,ENG CS,Hull City,0:1,AFC Sunderland,England Championship
26.12. 16:00,ENG CS,Cardiff City,2:2,Plymouth Argyle,England Championship
26.12. 16:00,SCO PS,FC Dundee,0:3,Celtic Glasgow,Schottland Premiership
26.12. 17:30,EH AUT,Vienna Capitals,3:2,EC RB Salzburg,win2day ICE Hockey League
26.12. 17:30,EH AUT,Black Wings Linz,1:3,HC Innsbruck,win2day ICE Hockey League
26.12. 18:00,EH AUT,HK Olimpija,6:6,EC KAC,win2day ICE Hockey League
26.12. 18:15,ENG CS,Birmingham City,1:3,Stoke City,England Championship
26.12. 18:30,ENG PL,FC Burnley,0:2,FC Liverpool,England Premier League
26.12. 19:45,EH AUT,HC Bozen Foxes,3:2,EC VSV,win2day ICE Hockey League
26.12. 20:30,ITA B,Sampdoria Genua,1:1,AS Bari,Italien Serie B
26.12. 20:45,BEL 1,Club Brügge,1:1,Saint Gilloise,Belgien Jupiler Pro League
26.12. 20:45,ENG CS,Ipswich Town,1:1,Leicester City,England Championship
26.12. 21:00,ENG PL,Manchester United,3:2,Aston Villa,England Premier League
