Num,Date,Time,League,Team 1,Score,Team 2,League Name
064,17.06.,19:30,ESP 2,Real Oviedo,2:2,Dep. La Coruna,Spanien Segunda Division
065,17.06.,19:30,ESP 2,UD Extremadura,0:1,Albacete Balompie,Spanien Segunda Division
066,17.06.,20:00,POR 1,FC Pacos Ferreira,2:1,Belenenses L.,Portugal Primeira Liga
067,17.06.,20:00,DEN 1,FC Kopenhagen,2:0,Aalborg BK,Dänemark Superligaen
068,17.06.,20:15,CZE CUP,Sparta Prag,2:1,Viktoria Pilsen,Tschechien Cup
069,17.06.,20:30,AUT BL,LASK Linz,4:0,SK Sturm Graz,Österreich Bundesliga
070,17.06.,20:30,AUT BL,LASK Linz,4:1,SK Sturm Graz+1,Österreich Bundesliga
071,17.06.,20:30,GER BL,RB Leipzig,2:2,Fortuna Düsseldorf,Deutschland Bundesliga
072,17.06.,20:30,GER BL,RB Leipzig,2:4,Fort. Düsseldorf+2,Deutschland Bundesliga
073,17.06.,20:30,GER BL,Bayer Leverkusen,3:1,1. FC Köln,Deutschland Bundesliga
074,17.06.,20:30,GER BL,Bayer Leverkusen,3:2,1. FC Köln+1,Deutschland Bundesliga
075,17.06.,20:30,GER BL,Bor. Dortmund,0:2,FSV Mainz 05,Deutschland Bundesliga
076,17.06.,20:30,GER BL,Bor. Dortmund,0:4,FSV Mainz 05+2,Deutschland Bundesliga
077,17.06.,20:30,GER BL,FC Augsburg,1:3,TSG Hoffenheim,Deutschland Bundesliga
078,17.06.,20:30,GER 3,KFC Uerdingen 05,1:1,MSV Duisburg,Deutschland 3. Liga
079,17.06.,20:30,NOR 1,FK Haugesund,1:2,SK Brann,Norwegen Tippeligaen
080,17.06.,21:00,ITA CUP,SSC Napoli*,0:0,Juventus Turin,Italien Coppa Italia
081,17.06.,21:00,ITA CUP,SSC Napoli+1,1:0,Juventus Turin,Italien Coppa Italia
082,17.06.,21:05,CRO 1,NK Osijek,2:1,HNK Gorica,Kroatien 1. HNL
083,17.06.,21:15,ENG PL,Manchester City,3:0,FC Arsenal,England Premier League
084,17.06.,21:15,ENG PL,Manchester City,3:1,FC Arsenal+1,England Premier League
085,17.06.,21:45,ESP 2,Rayo Vallecano,1:0,Fuenlabrada,Spanien Segunda Division
086,17.06.,22:00,ESP 1,CA Osasuna,0:5,Atletico Madrid,Spanien Primera Division
087,17.06.,22:15,POR 1,Rio Ave FC,1:2,Benfica Lissabon,Portugal Primeira Liga
088,19.06.,17:00,CZE 2,FK Fotbal Trinec,abgesagt,FC Graffin Vlasim,Tschechien 1. Division
089,18.06.,17:00,CZE 2,FK Varnsdorf,2:2,FK Slavoj Vysehrad,Tschechien 1. Division
090,18.06.,17:00,CZE 2,FC Jihlava,0:1,FK Viktoria Zizkov,Tschechien 1. Division
091,18.06.,17:00,CZE 2,FK Dukla Prag,3:1,FK Banik Sokolov,Tschechien 1. Division
092,18.06.,18:00,CZE 2,FC Hradec Kralove,1:1,Zbrojovka Brno,Tschechien 1. Division
093,18.06.,18:00,DEN 1,Lyngby BK,0:0,Silkeborg IF,Dänemark Superligaen
094,18.06.,18:00,DEN 1,Odense BK,2:0,SönderjyskE,Dänemark Superligaen
095,18.06.,18:30,GER 2,Holstein Kiel,2:0,Dynamo Dresden,Deutschland 2. Bundesliga
096,18.06.,19:00,SWE 1,Östersunds FK,0:2,IK Sirius FK,Schweden Allsvenskan
097,18.06.,19:00,SWE 1,Kalmar FF,4:0,Helsingborgs IF,Schweden Allsvenskan
098,18.06.,19:00,SWE 1,Mjällby AIF,0:1,Falkenbergs FF,Schweden Allsvenskan
099,18.06.,19:00,SWE 1,BK Häcken,1:1,Malmö FF,Schweden Allsvenskan
100,18.06.,19:00,SWE 1,Varbergs BoIS,1:2,IFK Göteborg,Schweden Allsvenskan
101,18.06.,19:00,ISR 2,Bnei Sakhnin FC,1:0,SC Kfar Qasem,Israel National League
102,18.06.,19:00,ISR 2,Hap. Rishon LeZion,3:1,I. Ramat Hasharon,Israel National League
103,18.06.,19:00,ISR 2,Beitar Tel Aviv,1:2,Hapoel Ramat Gan,Israel National League
104,18.06.,19:00,ISR 2,Hapoel K. Jerusale,1:1,Macc. Petach Tikva,Israel National League
105,18.06.,19:00,ISR 2,Hapoel Akko,0:0,Hapoel Ashkelon,Israel National League
106,18.06.,19:00,ISR 2,H. Petach Tikva,3:1,M. Ahi Nazareth,Israel National League
107,18.06.,19:00,ISR 2,Hapoel Afula FC,1:2,Hapoel Bnei Lod,Israel National League
108,18.06.,19:00,ISR 2,Hapoel Nof HaGalil,1:3,Hapoel Umm al-Fahm,Israel National League
109,18.06.,19:15,ISR 1,Hapoel Hadera,1:2,Maccabi Netanya,Israel Winner League
110,18.06.,19:30,ESP 1,CD Alaves,2:0,Real Sociedad,Spanien Primera Division
