Date,League,Team 1,Score,Team 2,League Name
14.07. 14:30,TEN ATP,"Sinner, Jannik",0:3,"Djokovic, Novak",Tennis ATP
14.07. 17:30,ROU 1,ASC Otelul Galati,1:1,UTA Arad,Rumänien Liga 1
14.07. 17:30,FIN 2,Turun Palloseura,4:0,FF Jaro,Finnland Ykkosliiga
14.07. 17:30,FIN 2,Mikkelin Pall.,0:2,Järvenpään PS,Finnland Ykkosliiga
14.07. 17:45,BUL 1,Pirin Blagoevgrad,1:2,Beroe Stara Zagora,Bulgarien Premier League
14.07. 17:50,TEN ATP,"Alcaraz, Carlos",3:0,"Medvedev, Daniil",Tennis ATP
14.07. 18:00,COSAFAC,Südafrika*,1:2,Sambia,COSAFA Cup
14.07. 18:30,INT FSF,Tschechien Frauen,3:0,Slowakei Frauen,"Freundschaftsspiele, Frauen"
14.07. 19:00,SWE 2,Östers IF,2:1,Skövde AIK,Schweden Superettan
14.07. 19:30,EGY 1,Aswan FC,2:4,El Daklyeh,Ägypten Premier League
14.07. 19:30,EGY 1,Haras El Hodood,2:1,Ghazl El Mahallah,Ägypten Premier League
14.07. 19:30,EGY 1,Nat. Bank Egypt,1:0,Future FC,Ägypten Premier League
14.07. 19:30,FS,Austria Wien AUT,1:1,Galatasaray TUR,Freundschaftsspiele International (Klub)
14.07. 20:00,INT FSF,Island Frauen,1:2,Finnland Frauen,"Freundschaftsspiele, Frauen"
14.07. 20:00,BUL 1,FC Krumovgrad,3:1,Ludogorets,Bulgarien Premier League
14.07. 20:30,ROU 1,Rapid Bukarest,0:0,Sepsi Sf.Gheorghe,Rumänien Liga 1
14.07. 20:45,IRL 1,UC Dublin,1:3,FC Drogheda United,Irland Premier Division
14.07. 20:45,IRL 1,Shelbourne Dublin,1:1,Boh. Dublin,Irland Premier Division
14.07. 20:45,IRL 2,Treaty United,abgesagt,Waterford United,Irland First Division
14.07. 20:45,IRL 2,FC Bray Wanderers,0:3,Wexford Youths,Irland First Division
14.07. 20:45,IRL 2,FC Athlone Town,0:1,FC Galway United,Irland First Division
14.07. 21:00,IRL 2,FC Finn Harps,4:3,Cobh Ramblers,Irland First Division
14.07. 22:15,ISL 1,Fram Reykjavik,0:1,Breidablik,Island Bestadeild
14.07. 23:00,COL 1,Envigado FC,1:3,CA Bucaramanga,Kolumbien Primera Liga
14.07. 23:00,CHI 1,Cobresal,2:0,Huachipato,Chile Primera Divison
15.07. 00:00,ARG 1,CD Godoy Cruz,2:2,Defensa y Justicia,Argentinien Primera Division
15.07. 00:00,ARG 1,CA Sarmiento,1:1,Velez Sarsfield,Argentinien Primera Division
15.07. 01:00,URU 1,Defensor Sporting,2:1,Danubio FC,Uruguay Primera Division
15.07. 02:30,ARG 1,CA Huracan,0:1,CA Talleres,Argentinien Primera Division
15.07. 02:30,BRA 2,Atl. Goianense GO,3:1,Sport Recife PE,Brasilien Brasilero Serie B
15.07. 13:00,SWE 2,Jonkopings Södra,1:0,GIF Sundsvall,Schweden Superettan
15.07. 14:00,FIN 1,Tampereen Ilves,0:0,IFK Mariehamn,Finnland Veikkausliiga
15.07. 15:00,SWE 1,Halmstads BK,2:2,IFK Värnamo,Schweden Allsvenskan
15.07. 15:00,SWE 2,Västeras SK,1:0,Utsiktens BK,Schweden Superettan
15.07. 15:00,SWE 2,Örgryte Göteborg,1:2,Helsingborgs IF,Schweden Superettan
15.07. 15:00,TEN WTA,Vondrousova M.,2:0,"Jabeur, Ons",Tennis WTA
15.07. 16:00,SCO LC,FC Stenhousemuir,1:0,FC St. Johnstone,Schottland League Cup
15.07. 16:00,SCO LC,FC Brechin City,0:3,FC Livingston,Schottland League Cup
15.07. 16:00,SCO LC,FC Clyde,1:3,Hamilton FC,Schottland League Cup
15.07. 16:00,SCO LC,Elgin City,0:2,FC Motherwell,Schottland League Cup
15.07. 16:00,SCO LC,FC Montrose,1:0,FC St. Mirren,Schottland League Cup
15.07. 16:00,FIN 1,Vaasa PS,3:0,AC Oulu,Finnland Veikkausliiga
15.07. 17:00,SWE 2,Östersunds FK,4:1,Landskrona BoIS,Schweden Superettan
15.07. 17:30,SWE 1,Degerfors IF,0:3,IK Sirius FK,Schweden Allsvenskan
15.07. 17:30,SWE 1,BK Häcken,4:2,IF Brommapojkarna,Schweden Allsvenskan
15.07. 17:30,ROU 1,AFC Hermannstadt,0:1,FC Farul Constanta,Rumänien Liga 1
15.07. 17:45,BUL 1,Levski Sofia,1:2,CSKA 1948 Sofia,Bulgarien Premier League
15.07. 18:00,NOR 1,Valerenga IF,0:4,Molde FK,Norwegen Tippeligaen
15.07. 18:00,FS,BW Linz AUT,1:2,PSV Eindhoven NED,Freundschaftsspiele International (Klub)
15.07. 18:15,SCO LC,FC Raith Rovers,1:1,Dunfermline,Schottland League Cup
15.07. 20:00,BUL 1,FK Arda Kurdzhali,3:3,Cherno More,Bulgarien Premier League
15.07. 20:00,CRO SC,NK Dinamo Zagreb,1:0,HNK Hajduk Split,Kroatien Supercup
15.07. 20:10,POL SC,Rakow Czestochowa,0:0,Legia Warschau,Polen Supercup
15.07. 20:30,ROU 1,CFR 1907 Cluj,2:0,CSM Poli. Iasi,Rumänien Liga 1
15.07. 20:45,IRL 1,FC Sligo Rovers,3:0,Cork City FC,Irland Premier Division
15.07. 21:00,ARG 1,Racing Club,1:1,CA Rosario Central,Argentinien Primera Division
15.07. 21:30,BRA CUP,Corinthians SP,3:2,America Mineiro MG,Brasilien Cup
16.07. 00:00,ARG 1,CA River Plate,3:1,Estudiantes LP,Argentinien Primera Division
16.07. 01:55,USA MLS,Atlanta United FC,1:2,Orlando City SC,USA Major League Soccer
16.07. 02:00,BRA 1,Botafogo FR RJ,2:0,RB Bragantino,Brasilien Brasilero Serie A
16.07. 02:30,USA MLS,Saint Louis City,3:0,Inter Miami CF,USA Major League Soccer
16.07. 02:30,USA MLS,FC Minnesota Utd.,1:1,Los Angeles FC,USA Major League Soccer
16.07. 03:30,USA MLS,Real Salt Lake,3:1,NY Red Bulls,USA Major League Soccer
16.07. 04:30,USA MLS,Vancouver W'caps,4:2,LA Galaxy,USA Major League Soccer
16.07. 15:00,SWE 1,IF Elfsborg,1:1,IFK Göteborg,Schweden Allsvenskan
16.07. 15:00,SWE 1,Hammarby IF,3:1,Kalmar FF,Schweden Allsvenskan
16.07. 15:00,SWE 2,AFC Eskilstuna,2:1,IK Brage,Schweden Superettan
16.07. 15:00,SWE 2,GAIS Göteborg,1:1,Gefle IF,Schweden Superettan
16.07. 15:00,TEN ATP,"Alcaraz, Carlos",3:2,"Djokovic, Novak",Tennis ATP
16.07. 16:00,ISL 2,Grotta,2:0,UMF Grindavik,Island 2. Liga
16.07. 16:00,BRA 1,Cruzeiro EC MG,0:0,Coritiba FC PR,Brasilien Brasilero Serie A
16.07. 17:00,NOR 1,Stabaek IF,0:1,Viking FK,Norwegen Tippeligaen
16.07. 17:00,NOR 1,Sarpsborg 08,2:3,HamKam,Norwegen Tippeligaen
16.07. 17:00,NOR 1,Rosenborg BK,2:1,Tromsö IL,Norwegen Tippeligaen
16.07. 17:00,NOR 1,Lilleström SK,4:2,Sandefjord Fotball,Norwegen Tippeligaen
16.07. 17:00,NOR 1,Bodö Glimt,2:1,FK Haugesund,Norwegen Tippeligaen
16.07. 17:00,NOR 1,Aalesunds FK,0:3,Odds BK,Norwegen Tippeligaen
16.07. 17:30,SWE 1,Mjällby AIF,1:2,IFK Norrköping,Schweden Allsvenskan
16.07. 17:30,FIN 1,FC Lahti,1:1,Seinajoen JK,Finnland Veikkausliiga
16.07. 17:30,ROU 1,Petrolul Ploiesti,1:1,Universitatea Cluj,Rumänien Liga 1
16.07. 17:30,BUL 1,Lokomotiv Plovdiv,1:1,Botev Plovdiv,Bulgarien Premier League
16.07. 18:00,ISL 1,IBV Vestmannaeyjar,1:1,Keflavik IF,Island Bestadeild
16.07. 18:00,ISL 2,Throttur Reykjavik,2:2,Fjölnir,Island 2. Liga
16.07. 18:00,ISL 2,Thor Akureyri,1:3,Afturelding,Island 2. Liga
16.07. 19:00,ARG 1,CA Belgrano,0:1,CA San Lorenzo,Argentinien Primera Division
16.07. 19:15,NOR 1,Brann Bergen,1:0,Strömsgodset,Norwegen Tippeligaen
16.07. 20:00,BUL 1,FK Hebar Pazardzhi,0:0,ZSKA Sofia,Bulgarien Premier League
16.07. 20:30,ROU 1,Uni Craiova 1948,1:3,FCS Bukarest,Rumänien Liga 1
16.07. 20:30,BRA 2,Mirassol FC SP,1:1,Ceara SC CE,Brasilien Brasilero Serie B
16.07. 21:00,BRA 1,Fortaleza EC CE,0:1,Cuiaba MT,Brasilien Brasilero Serie A
16.07. 21:00,BRA 1,Sao Paulo SP,4:1,Santos SP,Brasilien Brasilero Serie A
16.07. 21:00,BRA 1,Fluminense RJ,0:0,Flamengo RJ,Brasilien Brasilero Serie A
16.07. 21:30,ARG 1,Gimnasia La Plata,1:3,Boca Juniors,Argentinien Primera Division
16.07. 23:00,BRA 2,EC Vitoria BA,2:1,Novorizontino SP,Brasilien Brasilero Serie B
16.07. 23:30,BRA 1,CA Paranaense,2:0,EC Bahia BA,Brasilien Brasilero Serie A
16.07. 23:30,BRA 1,Internacional RS,0:0,SE Palmeiras SP,Brasilien Brasilero Serie A
17.07. 00:00,ARG 1,Atletico Lanus,2:2,CA Banfield,Argentinien Primera Division
17.07. 01:30,G-CUP,Mexiko*,1:0,Panama,Gold Cup
17.07. 01:30,G-CUP,Mexiko,1:1,Panama+1,Gold Cup
17.07. 02:30,ARG 1,Argentinos Juniors,1:0,Colon Santa Fe,Argentinien Primera Division
17.07. 02:30,ARG 1,CA Central Cordoba,0:1,CA Independiente,Argentinien Primera Division
