Date,League,Team 1,Score,Team 2,League Name
13.11. 19:00,EH SWE,Brynas IF,3:4,Malmö Redhawks,Schweden Elitserien
13.11. 19:00,EH SWE,Lulea Hockey,2:2,Djurgardens IF,Schweden Elitserien
13.11. 19:00,EH SWE,Skelleftea AIK,5:0,Timra IK,Schweden Elitserien
13.11. 19:00,EH SWE,Rögle BK,5:1,Färjestads BK,Schweden Elitserien
13.11. 19:00,EH SWE,HV 71,5:4,Växjö Lakers,Schweden Elitserien
13.11. 19:00,EH SWE,Linköpings HC,6:1,Leksands IF,Schweden Elitserien
13.11. 19:00,EH SWE,Frölunda HC,3:2,Örebro Hockey,Schweden Elitserien
13.11. 19:30,EH GER,Bremerhaven P.,4:1,EHC München,Deutschland Eishockey Liga
13.11. 19:30,U21 EMQ,Luxemburg U21,1:3,Island U21,U21 EM Qualifikation
13.11. 20:00,WMQ AFR,Kamerun,0:1,DR Kongo,"WM Qualifikation, Afrika"
13.11. 20:00,EH SUI,HC Servette Genf,3:1,SCL Tigers Langnau,Schweiz National League A
13.11. 20:45,WM Q,England,2:0,Serbien,"WM Qualifikation, Europa"
13.11. 20:45,WM Q,England,2:1,Serbien+1,"WM Qualifikation, Europa"
13.11. 20:45,WM Q,England,2:2,Serbien+2,"WM Qualifikation, Europa"
13.11. 20:45,WM Q,Andorra,0:1,Albanien,"WM Qualifikation, Europa"
13.11. 20:45,WM Q,Andorra+1,1:1,Albanien,"WM Qualifikation, Europa"
13.11. 20:45,WM Q,Irland,2:0,Portugal,"WM Qualifikation, Europa"
13.11. 20:45,WM Q,Irland+1,3:0,Portugal,"WM Qualifikation, Europa"
13.11. 20:45,WM Q,Frankreich,4:0,Ukraine,"WM Qualifikation, Europa"
13.11. 20:45,WM Q,Frankreich,4:1,Ukraine+1,"WM Qualifikation, Europa"
13.11. 20:45,WM Q,Frankreich,4:2,Ukraine+2,"WM Qualifikation, Europa"
13.11. 20:45,WM Q,Moldawien+2,2:2,Italien,"WM Qualifikation, Europa"
13.11. 20:45,HB CL,Sporting CP POR,37:38,Füchse Berlin GER,Champions League
13.11. 23:00,WMQCONC,Surinam,4:0,El Salvador,"WM Qualifikation, CONCACAF"
14.11. 01:00,WMQCONC,Trinidad & Tobago,1:1,Jamaika,"WM Qualifikation, CONCACAF"
14.11. 01:00,COL 1,FC Llaneros,0:3,Envigado FC,Kolumbien Primera Liga
14.11. 01:00,COL 1,Rionegro Aguilas,1:2,Deportes Tolima,Kolumbien Primera Liga
14.11. 01:00,COL 1,Indep. Medellin,3:0,America de Cali,Kolumbien Primera Liga
14.11. 01:00,COL 1,AD Cali,1:1,CD Once Caldas,Kolumbien Primera Liga
14.11. 01:00,COL 1,Deportivo Pasto,3:0,CA Bucaramanga,Kolumbien Primera Liga
14.11. 01:00,COL 1,Indep. Santa Fe,1:0,Alianza Valledupar,Kolumbien Primera Liga
14.11. 01:30,INT FS,Kanada,0:0,Ecuador,Internationale Freundschaftsspiele
14.11. 02:15,NFL,N.England Patriots,27:14,New York Jets,USA NFL
14.11. 03:00,WMQCONC,Nicaragua,2:0,Honduras,"WM Qualifikation, CONCACAF"
14.11. 03:00,WMQCONC,Haiti,1:0,Costa Rica,"WM Qualifikation, CONCACAF"
14.11. 03:00,WMQCONC,Guatemala,2:3,Panama,"WM Qualifikation, CONCACAF"
14.11. 20:45,WM Q,Polen,1:1,Niederlande,"WM Qualifikation, Europa"
14.11. 20:45,WM Q,Slowakei,1:0,Nordirland,"WM Qualifikation, Europa"
14.11. 20:45,WM Q,Luxemburg,0:2,Deutschland,"WM Qualifikation, Europa"
15.11. 18:00,WM Q,Zypern,0:2,Österreich,"WM Qualifikation, Europa"
15.11. 20:45,WM Q,Bosnien-Herzegowi.,3:1,Rumänien,"WM Qualifikation, Europa"
15.11. 20:45,WM Q,Griechenland,3:2,Schottland,"WM Qualifikation, Europa"
15.11. 20:45,WM Q,Schweiz,4:1,Schweden,"WM Qualifikation, Europa"
15.11. 20:45,WM Q,Slowenien,0:2,Kosovo,"WM Qualifikation, Europa"
16.11. 20:45,WM Q,Italien,1:4,Norwegen,"WM Qualifikation, Europa"
18.11. 20:45,WM Q,Österreich,1:1,Bosnien-Herzegowi.,"WM Qualifikation, Europa"
