Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,27.05. 12:30,TEN AUT,"Melzer, Jürgen",2:1,"Rodionov, Jurij",?,"Austrian Pro, Einzel, Herren"
002,27.05. 16:00,TEN AUT,"Thiem, Dominic",2:0,"Miedler, Lucas",?,"Austrian Pro, Einzel, Herren"
003,26.05. 17:00,FS,Wolfsberger AC,3:0,SV Mattersburg,?,Freundschaftsspiele Österreich
004,26.05. 17:00,FS,Admira Wacker,0:0,SK Sturm Graz,?,Freundschaftsspiele Österreich
005,26.05. 17:00,CZE 2,FK Varnsdorf,1:2,FC Hradec Kralove,?,Tschechien 1. Division
006,26.05. 17:00,CZE 2,FK Banik Sokolov,1:0,FK Slavoj Vysehrad,?,Tschechien 1. Division
007,26.05. 17:00,CZE 2,FK Fotbal Trinec,1:0,AFK Chrudim,?,Tschechien 1. Division
008,26.05. 17:00,CZE 2,SK Lisen,0:2,FC Graffin Vlasim,?,Tschechien 1. Division
009,26.05. 17:00,CZE 2,MFK Vitkovice,0:1,FK Viktoria Zizkov,?,Tschechien 1. Division
010,26.05. 17:00,CZE 2,Pardubice,1:0,1.SK Prostejov,?,Tschechien 1. Division
011,26.05. 18:00,CZE 1,1. FC Slovacko,0:0,SK Sigma Olmütz,?,Tschechien Gambrinus Liga
012,26.05. 18:00,CZE 1,FK Baumit Jablonec,1:0,FC Fastav Zlin,?,Tschechien Gambrinus Liga
013,26.05. 18:00,CZE 1,1. FK Pribram,0:0,FC Banik Ostrava,?,Tschechien Gambrinus Liga
014,26.05. 18:00,HUN CUP,Fehervar FC,2:2,Mezokovesd Zsory S,?,Ungarn Cup
015,27.05. 17:25,TEN AUT,"Pichler, David",1:2,"Kopp, Sandro",?,"Austrian Pro, Einzel, Herren"
016,26.05. 18:30,GER BL,Bor. Dortmund,0:1,FC Bayern München,?,Deutschland Bundesliga
017,26.05. 18:30,GER BL,Bor. Dortmund,0:2,Bayern München+1,?,Deutschland Bundesliga
018,26.05. 18:30,GER BL,Bor. Dortmund+1,1:1,FC Bayern München,?,Deutschland Bundesliga
019,26.05. 18:30,GER 2,Wehen Wiesbaden,0:1,SV Sandhausen,?,Deutschland 2. Bundesliga
020,26.05. 18:30,GER 2,Jahn Regensburg,2:2,1. FC Nürnberg,?,Deutschland 2. Bundesliga
021,26.05. 18:30,GER 2,Greuther Fürth,0:2,VfL Osnabrück,?,Deutschland 2. Bundesliga
022,26.05. 18:30,GER 2,Erzgebirge Aue,1:3,SV Darmstadt 98,?,Deutschland 2. Bundesliga
023,26.05. 20:00,CZE 1,FK Mlada Boleslav,0:1,SK Slavia Prag,?,Tschechien Gambrinus Liga
024,26.05. 20:10,POL CUP,ASPN Miedz Legnica,1:2,Legia Warschau,?,Polen Cup
025,26.05. 20:30,GER BL,Eintr. Frankfurt,3:3,SC Freiburg,?,Deutschland Bundesliga
026,26.05. 20:30,GER BL,Eintr. Frankfurt,3:4,SC Freiburg+1,?,Deutschland Bundesliga
027,26.05. 20:30,GER BL,Bayer Leverkusen,1:4,VfL Wolfsburg,?,Deutschland Bundesliga
028,26.05. 20:30,GER BL,Bayer Leverkusen,1:5,VfL Wolfsburg+1,?,Deutschland Bundesliga
029,26.05. 20:30,GER BL,Werder Bremen,0:0,Mönchengladbach,?,Deutschland Bundesliga
030,26.05. 20:30,GER BL,W. Bremen+1,1:0,Mönchengladbach,?,Deutschland Bundesliga
031,26.05. 21:00,HUN CUP,Honved Budapest,0:0,MTK Budapest FC,?,Ungarn Cup
032,26.05. 20:30,DART HO,"Wright, Peter",6:2,"Murray, Ryan",?,"Darts, PDC Home Tour (best of 9 Legs)"
033,26.05. 21:05,DART HO,"Reyes, Cristo",6:5,"Klaasen, Jelle",?,"Darts, PDC Home Tour (best of 9 Legs)"
034,26.05. 23:15,DART HO,"Klaasen, Jelle",6:1,"Wright, Peter",?,"Darts, PDC Home Tour (best of 9 Legs)"
035,28.05. 09:00,TEN AUT,"Rodionov, Jurij",2:1,"Hampel, Lenny",?,"Austrian Pro, Einzel, Herren"
036,28.05. 19:40,TEN AUT,"Melzer, Jürgen",2:0,"Andrejic, Marko",?,"Austrian Pro, Einzel, Herren"
037,27.05. 20:00,FRO 1,NSI Runavik,5:0,IF Fuglafjordur,?,Färöer Inseln Premier League
038,27.05. 15:15,TURK 1,FC Asgabat,1:1,Merw Mary,?,Turkmenistan 1. Liga
039,27.05. 15:00,TURK 1,FC Energetik Mary,5:1,Nebitci Balkanabat,?,Turkmenistan 1. Liga
040,28.05. 17:30,TEN AUT,"Thiem, Dominic",2:1,"Kopp, Sandro",?,"Austrian Pro, Einzel, Herren"
041,27.05. 17:00,FS,FK Austria Wien,1:0,TSV Hartberg,?,Freundschaftsspiele Österreich
042,27.05. 17:00,FS,LASK Linz,0:0,SKN St. Pölten,?,Freundschaftsspiele Österreich
043,27.05. 18:00,CZE 1,SFC Opava,0:0,MFK Karvina,?,Tschechien Gambrinus Liga
044,27.05. 18:00,CZE 1,Bohem.Prag 1905,4:0,FK Teplice,?,Tschechien Gambrinus Liga
045,27.05. 18:00,CZE 1,SK Dynamo Budweis,0:1,FC Slovan Liberec,?,Tschechien Gambrinus Liga
046,29.05. 16:40,TEN AUT,"Miedler, Lucas",abgesagt,"Pichler, David",?,"Austrian Pro, Einzel, Herren"
047,27.05. 18:30,GER BL,RB Leipzig,2:2,Hertha BSC,?,Deutschland Bundesliga
048,27.05. 18:30,GER BL,RB Leipzig,2:3,Hertha BSC+1,?,Deutschland Bundesliga
049,27.05. 18:30,GER 2,Hannover 96,1:1,Karlsruher SC,?,Deutschland 2. Bundesliga
050,27.05. 18:30,GER 2,FC St. Pauli,0:0,FC Heidenheim,?,Deutschland 2. Bundesliga
051,27.05. 18:30,GER 2,VfL Bochum,2:1,Holstein Kiel,?,Deutschland 2. Bundesliga
052,27.05. 20:00,CZE 1,Sparta Prag,1:2,Viktoria Pilsen,?,Tschechien Gambrinus Liga
