Num,Date,Time,League,Team 1,Score,Team 2,League Name
078,11.03.,21:00,CL,FC Liverpool,1:1,Atletico Madrid+1,UEFA Champions League
079,11.03.,21:00,CL,FC Liverpool,1:2,Atletico Madrid+2,UEFA Champions League
080,11.03.,22:15,INT D,England Damen*,0:1,Spanien Damen,"International, Damen"
081,11.03.,23:15,COPA L,CA Penarol URU,1:0,J.Wilstermann BOL,Copa Libertadores
082,11.03.,23:15,COPA L,Colo Colo CHI,1:0,Atletico PR BRA,Copa Libertadores
083,11.03.,23:15,COPA L,CA River Plate ARG,8:0,Binacional PER,Copa Libertadores
084,12.03.,01:00,INT D,USA Damen,3:1,Japan Damen,"International, Damen"
085,12.03.,01:30,COPA L,CR Flamengo RJ BRA,3:0,Barcelona G. ECU,Copa Libertadores
086,12.03.,01:30,COPA L,Indep. d.Valle ECU,3:0,Atl. Junior COL,Copa Libertadores
087,12.03.,01:30,COPA L,Sao Paulo SP BRA,3:0,LDU Quito ECU,Copa Libertadores
088,12.03.,01:30,COPA L,Ol. Asuncion PAR,2:1,Defensa y Jus. ARG,Copa Libertadores
089,12.03.,01:00,CCC CL,New York City USA,0:1,UANL Tigres MEX,CONCACAF Champions League
090,12.03.,03:30,CCC CL,Club America MEX,3:0,Atlanta United USA,CONCACAF Champions League
091,12.03.,04:00,COPA MX,CF Monterrey,2:0,FC Juarez,"Mexiko, Copa MX"
092,12.03.,17:00,TUR 2,Osmanlispor FK,1:1,Eskisehirspor,Türkei TFF 1. Lig
093,12.03.,17:30,KHL,Spartak Moskau,2:2,Dynamo Moskau,Kontinental Hockey League
094,12.03.,18:00,EH CZE,PSG Berani Zlin,abgesagt,HC Olmütz,Tschechische Republik Extraliga
095,12.03.,18:00,EH CZE,HC Karlsbad,abgesagt,Mountfield HK,Tschechische Republik Extraliga
096,12.03.,18:55,EL,Ist.Basaks TUR,1:0,FC Kopenhagen DEN,UEFA Europa League
097,12.03.,18:55,EL,Istanbul Basakseh.,1:1,FC Kopenhagen+1,UEFA Europa League
098,12.03.,18:55,EL,FC Sevilla ESP,abgesagt,AS Roma ITA,UEFA Europa League
099,12.03.,18:55,EL,FC Sevilla,abgesagt,AS Roma+1,UEFA Europa League
100,12.03.,18:55,EL,LASK Linz AUT,0:5,Manchester U. ENG,UEFA Europa League
101,12.03.,18:55,EL,LASK Linz+1,1:5,Manchester United,UEFA Europa League
102,12.03.,18:55,EL,E. Frankfurt GER,0:3,FC Basel SUI,UEFA Europa League
103,12.03.,18:55,EL,Eintr. Frankfurt,0:4,FC Basel+1,UEFA Europa League
104,12.03.,19:00,DEN 2,HB Köge,abgesagt,Hvidovre IF,Dänemark 1. Division
105,12.03.,19:00,BB AUT,Klosterneuburg,abgesagt,SKN St. Pölten,Österreich Basketball Superliga
106,12.03.,19:00,BB AUT,Kapfenberg Bulls,abgesagt,Oberwart Gunners,Österreich Basketball Superliga
107,12.03.,19:00,BB AUT,Swans Gmunden,abgesagt,Flyers Wels,Österreich Basketball Superliga
108,12.03.,21:00,EL,Olympiakos P. GRE,1:1,Wolverhampton ENG,UEFA Europa League
109,12.03.,21:00,EL,Olympiakos Pir.+1,2:1,Wolverhampton,UEFA Europa League
110,12.03.,21:00,EL,VfL Wolfsburg GER,1:2,Shakhtar Don. UKR,UEFA Europa League
111,12.03.,21:00,EL,VfL Wolfsburg,1:3,Shakhtar Donetsk+1,UEFA Europa League
112,12.03.,21:00,EL,Gl.Rangers SCO,1:3,Leverkusen GER,UEFA Europa League
113,12.03.,21:00,EL,Glasgow Rangers+1,2:3,Bayer Leverkusen,UEFA Europa League
114,12.03.,21:00,EL,Inter Mailand ITA,abgesagt,Getafe CF ESP,UEFA Europa League
115,12.03.,21:00,EL,Inter Mailand,abgesagt,Getafe CF+1,UEFA Europa League
116,12.03.,21:00,DEN 1,AGF Aarhus,abgesagt,Randers FC,Dänemark Superligaen
117,12.03.,23:00,COPA L,Club Nacional URU,1:0,Est. de Merida VEN,Copa Libertadores
118,13.03.,01:00,COPA L,Racing Club ARG,1:0,Alianza Lima PER,Copa Libertadores
119,13.03.,01:00,COPA L,Gremio RS BRA,0:0,Internacional BRA,Copa Libertadores
120,13.03.,03:30,CCC CL,Los Angeles FC USA,abgesagt,Cruz Azul MEX,CONCACAF Champions League
