Num,Date,Time,League,Team 1,Score,Team 2,League Name
069,27.04.,11:00,KOR PRE,KIA Tigers,8:6,NC Dinos,"Baseball Südkorea, Preseason Friendlies"
070,28.04.,12:35,BSB TWN,Fubon Guardians,0:3,Rakuten Monkeys,Taiwan CPBL
071,29.04.,12:35,BSB TWN,UNI Lions,8:9,Chinatrust Brother,Taiwan CPBL
072,29.04.,12:35,BSB TWN,Fubon Guardians,3:5,Rakuten Monkeys,Taiwan CPBL
073,29.04.,17:00,BLR CUP,Shakhter Soligorsk,4:2,Dinamo Brest,Weißrussland Cup
074,29.04.,17:00,BLR CUP,Shakhter Soligorsk,4:3,Dinamo Brest+1,Weißrussland Cup
075,29.04.,19:00,BLR CUP,FC BATE Borisov,2:0,Slavia Mozyr,Weißrussland Cup
076,29.04.,19:00,BLR CUP,FC BATE Borisov,2:1,Slavia Mozyr+1,Weißrussland Cup
077,01.05.,15:00,BLR 1,E.BGU Minsk*,2:0,FC Smolevichi,Weißrussland Premier League
078,02.05.,13:00,BLR 1,FC Minsk,2:5,FC Torpedo Zhodino,Weißrussland Premier League
079,02.05.,15:00,BLR 1,FC Rukh Brest,1:1,FC Gorodeya,Weißrussland Premier League
080,02.05.,17:00,BLR 1,FC Dinamo Minsk,1:2,FC Slutsk,Weißrussland Premier League
081,03.05.,13:00,BLR 1,Belshina Bobruisk,0:3,Dinamo Brest,Weißrussland Premier League
082,03.05.,15:00,BLR 1,FC Vitebsk,2:3,Slavia Mozyr,Weißrussland Premier League
083,03.05.,17:00,BLR 1,FC BATE Borisov,3:1,Neman Grodno,Weißrussland Premier League
084,03.05.,19:00,BLR 1,Shakhter Soligorsk,4:0,Isloch,Weißrussland Premier League
