Date,League,Team 1,Score,Team 2,League Name
07.07. 18:00,U19 EM,Griechenland U19,0:5,Spanien U19,U19 Europameisterschaft
07.07. 18:00,U19 EM,Griechenland U19+1,1:5,Spanien U19,U19 Europameisterschaft
07.07. 18:00,COSAFAC,Mosambik,1:1,Angola,COSAFA Cup
07.07. 18:00,EST 1,Paide Linnameesk.,0:0,FC Flora Tallinn,Estland Meistriliiga
07.07. 19:00,NOR 1,HamKam,2:1,Aalesunds FK,Norwegen Tippeligaen
07.07. 19:00,SWE 2,Örebro SK,1:1,Östers IF,Schweden Superettan
07.07. 19:00,SWE 2,Landskrona BoIS,1:1,Jonkopings Södra,Schweden Superettan
07.07. 20:45,IRL 1,UC Dublin,0:4,Shelbourne Dublin,Irland Premier Division
07.07. 20:45,IRL 1,St Patrick's,1:1,Cork City FC,Irland Premier Division
07.07. 20:45,IRL 1,FC Drogheda United,0:0,FC Shamrock Rovers,Irland Premier Division
07.07. 20:45,IRL 1,FC Derry City,2:1,FC Sligo Rovers,Irland Premier Division
07.07. 20:45,IRL 1,Boh. Dublin,3:2,FC Dundalk,Irland Premier Division
07.07. 20:45,IRL 2,Wexford Youths,1:4,FC Athlone Town,Irland First Division
07.07. 20:45,IRL 2,Kerry FC,2:3,Treaty United,Irland First Division
07.07. 20:45,IRL 2,Cobh Ramblers,1:1,FC Galway United,Irland First Division
07.07. 21:00,IRL 2,FC Finn Harps,0:0,FC Bray Wanderers,Irland First Division
07.07. 21:00,U19 EM,Island U19,1:1,Norwegen U19,U19 Europameisterschaft
07.07. 21:15,ISL 1,Breidablik,5:1,Fylkir Reykjavik,Island Bestadeild
07.07. 21:15,ISL 2,IA Akranes,2:1,UMF Njardvik,Island 2. Liga
07.07. 21:15,ISL 2,KF Aegir,1:4,Afturelding,Island 2. Liga
07.07. 22:00,PER 1,FBC Melgar,3:0,Atletico Grau,Peru Primera Division
07.07. 23:00,PAR 1,Resistencia FC,1:1,Gen.Caballero JLM,Paraguay Primera Division
08.07. 00:00,ARG 1,Gimnasia La Plata,1:1,CA Independiente,Argentinien Primera Division
08.07. 01:00,URU 1,La Luz FC,2:3,Montev. Wanderers,Uruguay Primera Division
08.07. 02:30,ARG 1,CA Central Cordoba,2:0,Newell's Old B.,Argentinien Primera Division
08.07. 13:00,FIN 1,HJK Helsinki,0:1,FC Lahti,Finnland Veikkausliiga
08.07. 15:00,NOR 2,Raufoss IL,3:2,Kristiansund BK,Norwegen Adeccoligaen
08.07. 15:00,NOR 2,IK Start,3:0,Mjöndalen,Norwegen Adeccoligaen
08.07. 15:00,NOR 2,Ranheim IL,0:5,Sandnes Ulf,Norwegen Adeccoligaen
08.07. 15:00,NOR 2,Hödd IL,0:1,KFUM Oslo,Norwegen Adeccoligaen
08.07. 15:00,NOR 2,Sogndal Fotball,5:1,FK Jerv,Norwegen Adeccoligaen
08.07. 15:00,SWE 1,IFK Värnamo,1:2,Djurgardens IF,Schweden Allsvenskan
08.07. 15:00,SWE 1,AIK Stockholm,1:2,BK Häcken,Schweden Allsvenskan
08.07. 15:00,SWE 2,GIF Sundsvall,1:3,Västeras SK,Schweden Superettan
08.07. 15:30,FS,RB Salzburg AUT,0:2,Nordsjaelland DEN,Freundschaftsspiele International (Klub)
08.07. 16:00,FS,YB Bern SUI*,4:2,Hertha BSC GER,Freundschaftsspiele International (Klub)
08.07. 16:00,FIN 1,FC KTP,0:0,Tampereen Ilves,Finnland Veikkausliiga
08.07. 16:00,FIN 1,Haka Valkeakoski,2:2,FC Inter Turku,Finnland Veikkausliiga
08.07. 16:00,FIN 1,Seinajoen JK,1:0,FC Honka,Finnland Veikkausliiga
08.07. 16:00,FIN 1,Kuopio PS,0:1,Vaasa PS,Finnland Veikkausliiga
08.07. 17:00,SWE 2,Gefle IF,2:0,AFC Eskilstuna,Schweden Superettan
08.07. 17:30,SWE 1,IF Brommapojkarna,1:2,Degerfors IF,Schweden Allsvenskan
08.07. 18:00,U21 EM,England U21,1:0,Spanien U21,U21 Europameisterschaft
08.07. 18:00,U21 EM,England U21,1:1,Spanien U21+1,U21 Europameisterschaft
08.07. 18:00,U21 EM,England U21+1,2:0,Spanien U21,U21 Europameisterschaft
08.07. 18:00,NOR 1,Viking FK,2:0,FK Haugesund,Norwegen Tippeligaen
08.07. 18:00,ISL 1,IBV Vestmannaeyjar,1:0,Fram Reykjavik,Island Bestadeild
08.07. 19:00,ISL 1,Keflavik IF,3:3,Vikingur Reykjavik,Island Bestadeild
08.07. 19:00,ROU SC,FC Farul Constant*,0:1,Sepsi Sf.Gheorghe,Rumänien Supercup
08.07. 21:00,BRA 1,Cuiaba MT,1:1,EC Bahia BA,Brasilien Brasilero Serie A
08.07. 21:00,BRA 1,Vasco Da Gama RJ,0:1,Cruzeiro EC MG,Brasilien Brasilero Serie A
08.07. 23:00,ARG 1,Estudiantes LP,0:0,Racing Club,Argentinien Primera Division
