Date,League,Team 1,Score,Team 2,League Name
18.11. 16:00,INT FS,Ägypten*,2:1,Belgien,Internationale Freundschaftsspiele
18.11. 16:30,INT FS,Bahrain,1:5,Serbien,Internationale Freundschaftsspiele
18.11. 18:00,HB AUT,SG Westwien,34:33,Bregenz Handball,Österreich HLA
18.11. 18:30,HB AUT,Alpla HC Hard,27:28,Fivers Margareten,Österreich HLA
18.11. 18:45,NL 2,FC Eindhoven,3:1,SC Telstar,Niederlande Jupiler League
18.11. 19:15,EH AUT,HK Olimpija,5:2,EC Graz 99ers,win2day ICE Hockey League
18.11. 19:15,EH AUT,Black Wings Linz,0:1,Fehervar AV19,win2day ICE Hockey League
18.11. 19:15,EH AUT,EC VSV,4:3,HC Innsbruck,win2day ICE Hockey League
18.11. 19:15,EH AUT,EC KAC,5:2,HC Pustertal,win2day ICE Hockey League
18.11. 19:15,EH AUT,EC RB Salzburg,6:1,Pion. Vorarlberg,win2day ICE Hockey League
18.11. 19:30,SUI 2,Xamax Neuchatel,1:1,FC Wil 1900,Schweiz Challenge League
18.11. 20:00,FS U21,Spanien U21,2:0,Japan U21,U21 Freundschaftsspiele
18.11. 20:15,FS U21,Portugal U21,5:1,Tschechien U21,U21 Freundschaftsspiele
18.11. 20:15,SUI 2,AC Bellinzona,1:3,FC Thun,Schweiz Challenge League
18.11. 21:00,ENG 1,FC Portsmouth,0:0,Derby County,England League One
18.11. 21:00,ESP 2,Granada CF,4:0,Albacete Balompie,Spanien Segunda Division
18.11. 21:00,NL 2,Helmond Sport,0:2,De Graafschap,Niederlande Jupiler League
19.11. 13:00,ENG 1,Exeter City,0:2,Ipswich Town,England League One
19.11. 16:00,ENG 1,Cheltenham Town,1:0,Wycombe Wanderers,England League One
19.11. 16:00,ENG 1,Sheffield Wednes.,1:0,Shrewsbury Town,England League One
19.11. 16:00,ENG 1,FC Barnsley,3:1,MK Dons,England League One
19.11. 16:00,ENG 1,Bristol Rovers,1:0,Peterborough Utd.,England League One
19.11. 16:00,ENG 1,Burton Albion,2:2,Plymouth Argyle,England League One
19.11. 16:00,ENG 1,Cambridge United,0:1,Accrington Stanley,England League One
19.11. 16:00,ENG 1,Fleetwood Town,1:2,Bolton Wanderers,England League One
19.11. 16:00,ENG 1,Lincoln City,2:1,FC Morecambe,England League One
19.11. 16:00,ENG 1,Oxford United,1:1,Forest Green,England League One
19.11. 16:00,ENG 1,Port Vale FC,1:0,Charlton Athletic,England League One
19.11. 16:00,NOR 1,Kongsvinger IL,2:1,Sandefjord Fotball,Norwegen Tippeligaen
19.11. 16:30,NL 2,FC Den Bosch,0:2,VVV Venlo,Niederlande Jupiler League
19.11. 17:30,INT FS,Albanien,2:0,Armenien,Internationale Freundschaftsspiele
19.11. 17:30,FS U21,Italien U21,2:4,Deutschland U21,U21 Freundschaftsspiele
19.11. 17:30,EH AUT,HK Olimpija,2:4,HC Innsbruck,win2day ICE Hockey League
19.11. 18:00,INT FS,Türkei,2:1,Tschechien,Internationale Freundschaftsspiele
19.11. 18:00,INT FS,Gibraltar,1:0,Andorra,Internationale Freundschaftsspiele
