Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
057,03.06. 19:30,ISR 1,Hapoel Haifa,1:1,Hap. Beer Sheva,?,Israel Winner League
058,03.06. 19:45,ISR 1,Maccabi Tel Aviv,2:0,Maccabi Haifa,?,Israel Winner League
059,03.06. 20:00,POR 1,Portimonense SC,1:0,Gil Vicente FC,?,Portugal Primeira Liga
060,03.06. 20:00,CZE 1,Sparta Prag,3:0,FK Teplice,?,Tschechien Gambrinus Liga
061,03.06. 20:00,SER CUP,FK Vojvodina,0:0,FK Mladost Lucani,?,Serbien Cup
062,03.06. 20:00,HUN CUP,Honved Budapest*,2:1,Mezokovesd Zsory S,?,Ungarn Cup
063,03.06. 20:30,AUT BL,RB Salzburg,2:0,SK Rapid Wien,?,Österreich Bundesliga
064,03.06. 20:30,AUT BL,RB Salzburg,2:1,SK Rapid Wien+1,?,Österreich Bundesliga
065,03.06. 20:30,AUT BL,RB Salzburg,2:2,SK Rapid Wien+2,?,Österreich Bundesliga
066,03.06. 20:30,GER BL,Werder Bremen,0:3,Eintr. Frankfurt,?,Deutschland Bundesliga
067,03.06. 20:30,GER BL,Werder Bremen,0:4,Eintr. Frankfurt+1,?,Deutschland Bundesliga
068,03.06. 20:30,GER BL,W. Bremen+1,1:3,Eintr. Frankfurt,?,Deutschland Bundesliga
069,03.06. 20:30,GER 3,FC Kaiserslautern,1:1,TSV 1860 München,?,Deutschland 3. Liga
070,03.06. 20:30,GER 3,Chemnitzer FC,0:1,Großaspach,?,Deutschland 3. Liga
071,03.06. 20:40,POL 2,Olimpia Grudziadz,1:2,Podbeskidzie Biala,?,Polen I Liga
072,03.06. 22:15,POR 1,FC Famalicao,2:1,FC Porto,?,Portugal Primeira Liga
073,03.06. 23:00,CRC 1,Uni. de Costa Rica,1:2,AD San Carlos,?,Costa Rica Primera División
074,04.06. 01:10,CRC 1,Santos de Guapiles,3:1,Perez Zeledon,?,Costa Rica Primera División
075,04.06. 01:15,CRC 1,CS Cartagines,1:4,CS Herediano,?,Costa Rica Primera División
076,04.06. 04:00,CRC 1,Deportivo Saprissa,2:2,ADR Jicaral,?,Costa Rica Primera División
077,04.06. 17:00,CZE 2,MFK Vitkovice,2:3,Zbrojovka Brno,?,Tschechien 1. Division
078,04.06. 18:00,CZE 2,FK Dukla Prag,2:0,FK Slavoj Vysehrad,?,Tschechien 1. Division
079,04.06. 18:00,GER DA,MSV Duisburg Damen,1:1,FC Köln Damen,?,Deutschland Frauen Bundesliga
080,04.06. 18:10,POL 2,Radomiak Radom,0:0,OKS Odra Opole,?,Polen I Liga
081,04.06. 19:00,ISR 2,Katamon Jerusalem,0:2,Hapoel Nof HaGalil,?,Israel National League
082,04.06. 19:00,ISR 2,I. Ramat Hasharon,0:2,Hapoel Ramat Gan,?,Israel National League
083,04.06. 19:00,ISR 2,M. Ahi Nazareth,2:4,SC Kfar Qasem,?,Israel National League
084,04.06. 19:15,ISR 2,Umm al-Fahm*,1:1,Hap. Rishon LeZion,?,Israel National League
085,04.06. 19:00,ISR 2,Hapoel Afula FC,0:0,Beitar Tel Aviv,?,Israel National League
086,04.06. 19:00,ISR 2,Macc. Petach Tikva,1:0,Hapoel Akko,?,Israel National League
