Date,League,Team 1,Score,Team 2,League Name
12.09. 14:20,INT FS,Japan*,4:2,Türkei,Internationale Freundschaftsspiele
12.09. 17:00,U21 EMQ,Finnland U21,1:2,Schweiz U21,U21 EM Qualifikation
12.09. 17:00,INT FS,Costa Rica*,1:4,Ver. Arab. Emirate,Internationale Freundschaftsspiele
12.09. 18:00,U21 EMQ,Österreich U21,2:0,Bosnien-Herz. U21,U21 EM Qualifikation
12.09. 18:00,U21 EMQ,Österreich U21,2:1,Bosnien U21+1,U21 EM Qualifikation
12.09. 18:00,U21 EMQ,Bulgarien U21,1:0,Israel U21,U21 EM Qualifikation
12.09. 18:00,INT FS,Aserbaidschan,2:1,Jordanien,Internationale Freundschaftsspiele
12.09. 18:30,INT FS,Südkorea*,1:0,Saudi Arabien,Internationale Freundschaftsspiele
12.09. 18:30,U21 EMQ,Türkei U21,0:2,Italien U21,U21 EM Qualifikation
12.09. 18:30,U21 EMQ,Ukraine U21*,1:0,Nordirland U21,U21 EM Qualifikation
12.09. 18:30,U21 EMQ,Island U21,2:1,Tschechien U21,U21 EM Qualifikation
12.09. 19:00,U21 EMQ,Kosovo U21,0:3,Deutschland U21,U21 EM Qualifikation
12.09. 19:00,U21 EMQ,Kosovo U21+1,1:3,Deutschland U21,U21 EM Qualifikation
12.09. 19:00,U21 EMQ,Färöer Inseln U21,2:4,Kroatien U21,U21 EM Qualifikation
12.09. 20:00,U21 EMQ,Serbien U21,2:0,Aserbaidschan U21,U21 EM Qualifikation
12.09. 20:00,ENG LTR,Peterborough Utd.,2:0,Cambridge United,England Football League Trophy
12.09. 20:45,EM Q,Schweden,1:3,Österreich,EM-Qualifikation
12.09. 20:45,EM Q,Schweden,1:4,Österreich+1,EM-Qualifikation
12.09. 20:45,EM Q,Schweden+1,2:3,Österreich,EM-Qualifikation
12.09. 20:45,EM Q,Belgien,5:0,Estland,EM-Qualifikation
12.09. 20:45,EM Q,Belgien,5:2,Estland+2,EM-Qualifikation
12.09. 20:45,EM Q,Norwegen,2:1,Georgien,EM-Qualifikation
12.09. 20:45,EM Q,Norwegen,2:2,Georgien+1,EM-Qualifikation
12.09. 20:45,EM Q,Italien,2:1,Ukraine,EM-Qualifikation
12.09. 20:45,EM Q,Italien,2:2,Ukraine+1,EM-Qualifikation
12.09. 20:45,EM Q,Malta,0:2,Nordmazedonien,EM-Qualifikation
12.09. 20:45,EM Q,Rumänien,2:0,Kosovo,EM-Qualifikation
12.09. 20:45,EM Q,Israel,1:0,Weißrussland,EM-Qualifikation
12.09. 20:45,EM Q,Spanien,6:3,Zypern+3,EM-Qualifikation
12.09. 20:45,EM Q,Schweiz,3:3,Andorra+3,EM-Qualifikation
12.09. 20:45,INT FS,Schottland,1:3,England,Internationale Freundschaftsspiele
12.09. 20:45,INT FS,Schottland+1,2:3,England,Internationale Freundschaftsspiele
12.09. 21:00,INT FS,Deutschland,2:1,Frankreich,Internationale Freundschaftsspiele
12.09. 21:00,INT FS,Deutschland,2:2,Frankreich+1,Internationale Freundschaftsspiele
12.09. 21:00,INT FS,Deutschland+1,3:1,Frankreich,Internationale Freundschaftsspiele
12.09. 21:00,INT FS,Senegal,0:1,Algerien,Internationale Freundschaftsspiele
