Date,League,Team 1,Score,Team 2,League Name
13.02. 18:00,CZE 1,FC Banik Ostrava,0:1,Viktoria Pilsen,1. Tschechische Liga
13.02. 18:30,GRE CUP,Panaitolikos,0:1,Aris Thessaloniki,Griechenland Cup
13.02. 19:00,GER 3,Bor. Dortmund II,2:3,Preussen Münster,Deutschland 3. Liga
13.02. 19:15,EH AUT,HK Olimpija,3:0,Vienna Capitals,win2day ICE Hockey League
13.02. 19:15,EH AUT,HC Innsbruck,4:1,EC Graz 99ers,win2day ICE Hockey League
13.02. 19:15,EH AUT,Black Wings Linz,5:2,Pion. Vorarlberg,win2day ICE Hockey League
13.02. 19:15,EH AUT,EC KAC,5:2,Fehervar AV19,win2day ICE Hockey League
13.02. 19:30,EH GER,Schwenninger W.W.,3:0,Eisbären Berlin,Deutschland Eishockey Liga
13.02. 19:30,EH GER,Nürnberg Ice Tiger,3:4,Straubing Tigers,Deutschland Eishockey Liga
13.02. 19:30,EH GER,Kölner Haie,4:5,Iserlohn Roosters,Deutschland Eishockey Liga
13.02. 19:45,EH AUT,HC Pustertal,4:4,HC Bozen Foxes,win2day ICE Hockey League
13.02. 19:45,EH AUT,HC Asiago,2:4,EC VSV,win2day ICE Hockey League
13.02. 20:45,SCO 1,FC Alloa Athletic,2:1,Annan Athletic,Schottland League One
13.02. 20:45,ENG 1,FC Stevenage,2:3,Bristol Rovers,England League One
13.02. 20:45,ENG 1,Shrewsbury Town,1:1,FC Barnsley,England League One
13.02. 20:45,ENG 1,FC Portsmouth,3:1,Cambridge United,England League One
13.02. 20:45,ENG 1,Peterborough Utd.,abgesagt,Port Vale FC,England League One
13.02. 20:45,ENG 1,Oxford United,4:2,Wigan Athletic,England League One
13.02. 20:45,ENG 1,Leyton Orient,4:3,Northampton,England League One
13.02. 20:45,ENG 1,Fleetwood Town,1:1,FC Reading,England League One
13.02. 20:45,ENG 1,Exeter City,0:3,Derby County,England League One
13.02. 20:45,ENG 1,Cheltenham Town,2:0,FC Blackpool,England League One
13.02. 20:45,ENG 1,Charlton Athletic,1:1,Lincoln City,England League One
13.02. 20:45,ENG 1,Burton Albion,abgesagt,Carlisle United,England League One
13.02. 20:45,ENG 1,Bolton Wanderers,2:1,Wycombe Wanderers,England League One
13.02. 20:45,ENG CS,Swansea City,0:4,Leeds United,England Championship
13.02. 20:45,ENG CS,Rotherham United,1:2,Hull City,England Championship
13.02. 20:45,ENG CS,Norwich City,4:2,FC Watford,England Championship
13.02. 20:45,ENG CS,Leicester City,2:0,Sheffield Wednes.,England Championship
13.02. 20:45,ENG CS,Birmingham City,1:0,Blackburn Rovers,England Championship
13.02. 21:00,ENG CS,West Bromwich,2:0,Cardiff City,England Championship
13.02. 21:00,ENG CS,Bristol City,3:1,FC Southampton,England Championship
13.02. 21:00,CL,FC Kopenhagen DEN,1:3,Man. City ENG,UEFA Champions League
13.02. 21:00,CL,FC Kopenhagen+1,2:3,Manchester City,UEFA Champions League
13.02. 21:00,CL,FC Kopenhagen+2,3:3,Manchester City,UEFA Champions League
13.02. 21:00,CL,RB Leipzig GER,0:1,Real Madrid ESP,UEFA Champions League
13.02. 21:00,CL,RB Leipzig,0:2,Real Madrid+1,UEFA Champions League
13.02. 21:00,CL,RB Leipzig+1,1:1,Real Madrid,UEFA Champions League
13.02. 21:00,ARG LC,CA San Lorenzo,1:1,Estudiantes LP,"Argentinien, Ligacup"
13.02. 23:15,ARG LC,Gimnasia La Plata,3:1,CA Huracan,"Argentinien, Ligacup"
14.02. 18:00,CZE 1,FC Fastav Zlin,1:1,SK Slavia Prag,1. Tschechische Liga
14.02. 18:00,CYP 1,AEL Limassol,2:3,AEK Larnaca,Zypern 1. Division
14.02. 18:00,CYP 1,Anorthosis,2:0,Apollon Limassol,Zypern 1. Division
14.02. 18:00,CYP 1,Ethnikos Achnas,2:2,Omonia Nikosia,Zypern 1. Division
14.02. 18:30,ITA C1A,Pergolettese 1932,1:2,Fiorenzuola 1922,"Italien Lega Pro Prima Divisione, Girone A"
14.02. 18:30,ITA C1B,Olbia Calcio,1:1,Virtus Entella,"Italien Lega Pro Prima Divisione, Girone B"
14.02. 18:30,ITA C1B,Lucchese Libertas,0:2,ASD Torres Calcio,"Italien Lega Pro Prima Divisione, Girone B"
14.02. 18:30,ITA C1B,Juventus Turin U23,1:0,Sestri Levante,"Italien Lega Pro Prima Divisione, Girone B"
14.02. 18:30,ITA C1B,Carrarese Calcio,2:0,AS Gubbio,"Italien Lega Pro Prima Divisione, Girone B"
14.02. 18:30,ITA C1C,Messina FC,2:0,Sorrento Calcio,"Italien, Lega Pro Prima Divisione, Girone C"
14.02. 18:30,ITA C1C,Taranto Sport,1:0,FC Giugliano 1928,"Italien, Lega Pro Prima Divisione, Girone C"
14.02. 18:30,ITA C1C,Latina Calcio,1:0,Catania Calcio,"Italien, Lega Pro Prima Divisione, Girone C"
14.02. 18:30,GRE CUP,PAOK Thessaloniki,0:1,Panathinaikos,Griechenland Cup
14.02. 18:45,HB CL,GOG DEN,23:30,FC Barcelona ESP,Champions League
14.02. 18:45,HB CL,Pelister Rabotnik,25:31,Paris Handball FRA,Champions League
14.02. 19:00,ITA A,Bologna FC,2:0,AC Fiorentina,Italien Serie A
14.02. 19:30,HB AUTC,UHK Krems,32:30,HC BT-Füchse,Handball Cup Österreich
14.02. 20:45,HB CL,Montpellier HB FRA,32:21,Celje SLO,Champions League
14.02. 20:45,HB CL,Targi Kielce POL,36:36,THW Kiel GER,Champions League
14.02. 20:45,ITA C1B,Perugia Calcio,1:0,US Fermana,"Italien Lega Pro Prima Divisione, Girone B"
14.02. 20:45,ITA C1B,Vis Pesaro 1898,2:2,US Ancona 1905,"Italien Lega Pro Prima Divisione, Girone B"
14.02. 20:45,ITA C1C,Juve Stabia,0:0,SSD Brindisi,"Italien, Lega Pro Prima Divisione, Girone C"
14.02. 20:45,ITA C1C,Potenza SC,2:2,US Avellino,"Italien, Lega Pro Prima Divisione, Girone C"
14.02. 20:45,SCO PS,Glasgow Rangers,3:1,FC Ross County,Schottland Premiership
14.02. 20:45,SCO PS,FC Aberdeen,3:3,FC Motherwell,Schottland Premiership
14.02. 20:45,ENG CS,Stoke City,1:0,Queens Park R.,England Championship
14.02. 20:45,ENG CS,Preston North End,2:1,Middlesbrough,England Championship
14.02. 20:45,ENG CS,Plymouth Argyle,2:2,Coventry City,England Championship
14.02. 20:45,ENG CS,Huddersfield Town,1:0,AFC Sunderland,England Championship
14.02. 21:00,ENG CS,FC Millwall,0:4,Ipswich Town,England Championship
14.02. 21:00,CL,Paris SG FRA,2:0,Real Sociedad ESP,UEFA Champions League
14.02. 21:00,CL,Paris SG,2:1,Real Sociedad+1,UEFA Champions League
14.02. 21:00,CL,Paris SG,2:2,Real Sociedad+2,UEFA Champions League
14.02. 21:00,CL,Lazio Rom ITA,1:0,Bayern München GER,UEFA Champions League
14.02. 21:00,CL,Lazio Rom+1,2:0,Bayern München,UEFA Champions League
14.02. 21:00,CL,Lazio Rom+2,3:0,Bayern München,UEFA Champions League
14.02. 21:00,ARG LC,CA Tigre,0:1,Defensa y Justicia,"Argentinien, Ligacup"
14.02. 21:00,ARG LC,CA Sarmiento,0:1,Atletico Lanus,"Argentinien, Ligacup"
14.02. 23:15,ARG LC,CA Banfield,0:0,Barracas Central,"Argentinien, Ligacup"
14.02. 23:15,ARG LC,Boca Juniors,2:0,CA Central Cordoba,"Argentinien, Ligacup"
15.02. 18:30,ITA C1C,FC Casertana,4:3,Nuova Monterosi,"Italien, Lega Pro Prima Divisione, Girone C"
15.02. 18:30,ITA C1C,AZ Picerno,0:0,FC Crotone,"Italien, Lega Pro Prima Divisione, Girone C"
15.02. 18:45,EL,Feyenoord NED,1:1,AS Roma ITA,UEFA Europa League
15.02. 18:45,EL,Feyenoord,1:2,AS Roma+1,UEFA Europa League
15.02. 18:45,EL,YB Bern SUI,1:3,Sporting Liss. POR,UEFA Europa League
15.02. 18:45,EL,Young Boys Bern+1,2:3,Sporting Lissabon,UEFA Europa League
15.02. 18:45,EL,Galatasaray TUR,3:2,Sparta Prag CZE,UEFA Europa League
