Date,League,Team 1,Score,Team 2,League Name
29.07. 20:30,SUI SL,Servette Genf,2:2,FC Zürich,Schweiz Super League
29.07. 20:30,ROU 1,ASC Otelul Galati,0:2,FCS Bukarest,Rumänien Liga 1
29.07. 20:30,SVK 1,FC Kosice,0:0,Slovan Bratislava,Slowakei Corgon Liga
29.07. 20:45,BEL 1,RWD Molenbeek,0:4,KRC Genk,Belgien Jupiler Pro League
29.07. 21:00,CRO 1,NK Istra 1961,0:3,NK Dinamo Zagreb,Kroatien 1. HNL
29.07. 21:00,SERB 1,TSC Backa Topola,3:3,Partizan Belgrad,Serbien Meridijan Superliga
30.07. 06:30,WM FR,Südkorea Frauen,0:1,Marokko Frauen,"FIFA Weltmeisterschaft, Frauen"
30.07. 09:00,WM FR,Norwegen Frauen,6:0,Philippinen Frauen,"FIFA Weltmeisterschaft, Frauen"
30.07. 09:00,WM FR,Schweiz Frauen,0:0,Neuseeland Frauen,"FIFA Weltmeisterschaft, Frauen"
30.07. 10:30,AUT 2,Floridsdorfer AC,1:1,SV Ried,Österreich Zweite Liga
30.07. 10:30,AUT 2,SK Sturm Graz II,1:4,SKN St. Pölten,Österreich Zweite Liga
30.07. 11:30,WM FR,Deutschland Frauen,1:2,Kolumbien Frauen,"FIFA Weltmeisterschaft, Frauen"
30.07. 13:30,GER 2,Hansa Rostock,2:0,1. FC Nürnberg,Deutschland 2. Bundesliga
30.07. 13:30,GER 2,E. Braunschweig,0:1,Holstein Kiel,Deutschland 2. Bundesliga
30.07. 13:30,GER 2,Greuther Fürth,5:0,SC Paderborn,Deutschland 2. Bundesliga
30.07. 13:30,BEL 1,Royal Antwerpen,1:0,Cercle Brügge,Belgien Jupiler Pro League
30.07. 14:00,DEN 1,FC Midtjylland,2:0,Silkeborg IF,Dänemark Superligaen
30.07. 14:15,SUI SL,FC Luzern,2:1,Lausanne-Ouchy,Schweiz Super League
30.07. 15:00,SWE 1,Mjällby AIF,0:1,Djurgardens IF,Schweden Allsvenskan
30.07. 15:00,SWE 1,Hammarby IF,2:1,IFK Norrköping,Schweden Allsvenskan
30.07. 16:00,DEN 1,Randers FC,2:2,Hvidovre IF,Dänemark Superligaen
