Date,League,Team 1,Score,Team 2,League Name
23.06. 17:30,TUN 1,US Monastir,3:1,US Ben Guerdane,"Tunesien, Ligue 1"
23.06. 17:30,EGT CUP,Talaea El Gaish,1:1,Nat. Bank Egypt,"Ägypten, Cup"
23.06. 18:30,NOR 3,Tromsdalen UIL,2:1,Ullensaker/Kisa,"Norwegen 2. Division, avd. 2"
23.06. 19:00,NOR 2,IK Start,2:1,FK Jerv,Norwegen Adeccoligaen
23.06. 19:00,ALG 1,USM Alger,2:0,MC Alger,Algeria Ligue 1
23.06. 20:00,ISL 2,Leiknir Reykjavik,2:2,Afturelding,Island 2. Liga
23.06. 20:00,URU 1,Liverpool Montev.,3:0,Nacional de Footb.,Uruguay Primera Division
23.06. 20:30,EGT CUP,El Zamalek,3:1,Pharco FC,"Ägypten, Cup"
23.06. 20:45,IRL 1,Boh. Dublin,2:2,FC Shamrock Rovers,Irland Premier Division
23.06. 20:45,IRL 1,UC Dublin,2:1,FC Sligo Rovers,Irland Premier Division
23.06. 20:45,IRL 1,St Patrick's,1:0,Shelbourne Dublin,Irland Premier Division
23.06. 20:45,IRL 1,FC Drogheda United,1:2,FC Dundalk,Irland Premier Division
23.06. 20:45,IRL 1,FC Derry City,2:0,Cork City FC,Irland Premier Division
23.06. 20:45,IRL 2,FC Galway United,4:0,FC Longford Town,Irland First Division
23.06. 20:45,IRL 2,Cobh Ramblers,1:0,Waterford United,Irland First Division
23.06. 20:45,IRL 2,FC Athlone Town,0:2,Treaty United,Irland First Division
23.06. 21:00,IRL 2,FC Finn Harps,0:1,Wexford Youths,Irland First Division
23.06. 21:00,BOL 1,Vaca Diez,2:3,Club Dep. Aurora,Bolivien Liga Profesjonal
23.06. 21:15,ISL 1,HK Kopavogs,5:2,Breidablik,Island Bestadeild
23.06. 21:15,ISL 1,Keflavik IF,1:1,Fylkir Reykjavik,Island Bestadeild
23.06. 21:15,ISL 1,FH Hafnarfjördur,4:0,Fram Reykjavik,Island Bestadeild
23.06. 21:15,ISL 2,UMF Selfoss,3:4,IA Akranes,Island 2. Liga
24.06. 00:00,ARG 1,CA Huracan,1:1,Newell's Old B.,Argentinien Primera Division
24.06. 00:00,BRA 2,Atl. Goianense GO,1:0,AA Ponte Preta SP,Brasilien Brasilero Serie B
24.06. 00:00,URU 1,La Luz FC,0:2,Danubio FC,Uruguay Primera Division
24.06. 01:00,BOL 1,Club At.Palmaflor,0:0,CD Real Tomayapo,Bolivien Liga Profesjonal
24.06. 02:30,ARG 1,Argentinos Juniors,3:1,Defensa y Justicia,Argentinien Primera Division
24.06. 15:00,NOR 2,Ranheim IL,2:3,Mjöndalen,Norwegen Adeccoligaen
24.06. 15:00,NOR 2,Hödd IL,0:1,Bryne FK,Norwegen Adeccoligaen
24.06. 15:00,NOR 3,Strömmen IF,2:1,Kvik Halden FK,"Norwegen 2. Division, avd. 2"
24.06. 15:00,NOR 3,Baerum,1:1,FK Gjovik-Lyn,"Norwegen 2. Division, avd. 2"
24.06. 16:00,NOR 3,Sotra SK,0:1,Levanger FK,"Norwegen 2. Division, avd. 2"
24.06. 16:00,ISL 1,IBV Vestmannaeyjar,0:3,Valur Reykjavik,Island Bestadeild
24.06. 16:00,BRA 2,Botafogo FC SP,0:3,Vila Nova GO,Brasilien Brasilero Serie B
24.06. 18:00,U21 EM,Portugal U21,1:1,Niederlande U21,U21 Europameisterschaft
24.06. 18:00,U21 EM,Portugal U21,1:2,Niederlande U21+1,U21 Europameisterschaft
24.06. 18:00,U21 EM,Portugal U21+1,2:1,Niederlande U21,U21 Europameisterschaft
24.06. 18:00,U21 EM,Rumänien U21,0:1,Ukraine U21,U21 Europameisterschaft
24.06. 18:00,U21 EM,Rumänien U21+1,1:1,Ukraine U21,U21 Europameisterschaft
24.06. 18:00,U21 EM,Georgien U21,2:2,Belgien U21,U21 Europameisterschaft
24.06. 18:00,U21 EM,Georgien U21+1,3:2,Belgien U21,U21 Europameisterschaft
24.06. 18:00,NOR 1,Viking FK,3:1,Brann Bergen,Norwegen Tippeligaen
24.06. 19:00,ISL 1,KR Reykjavik,2:0,KA Akureyri,Island Bestadeild
24.06. 20:00,NOR 2,Sogndal Fotball,0:1,Fredrikstad FK,Norwegen Adeccoligaen
24.06. 20:45,U21 EM,Spanien U21,1:0,Kroatien U21,U21 Europameisterschaft
24.06. 20:45,U21 EM,Spanien U21,1:1,Kroatien U21+1,U21 Europameisterschaft
24.06. 21:00,BRA 1,CA Paranaense,1:0,Corinthians SP,Brasilien Brasilero Serie A
24.06. 21:00,BRA 2,Avai FC SC,0:0,Londrina EC PR,Brasilien Brasilero Serie B
24.06. 21:15,ISL 1,Vikingur Reykjavik,2:0,Stjarnan Gardab.,Island Bestadeild
24.06. 22:00,ARG 1,Union de Santa Fe,3:0,CA Independiente,Argentinien Primera Division
24.06. 22:00,BRA 2,Chapecoense SC,1:1,Criciuma EC SC,Brasilien Brasilero Serie B
24.06. 23:30,BRA 1,Fortaleza EC CE,2:1,Atletico MG,Brasilien Brasilero Serie A
24.06. 23:30,BRA 1,Fluminense RJ,2:1,EC Bahia BA,Brasilien Brasilero Serie A
25.06. 01:00,ARG 1,Atletico Lanus,2:1,CA Talleres,Argentinien Primera Division
25.06. 01:30,USA MLS,Philadelphia Union,4:1,Inter Miami CF,USA Major League Soccer
25.06. 01:30,USA MLS,NY Red Bulls,4:0,Atlanta United FC,USA Major League Soccer
25.06. 01:30,USA MLS,New England Rev.,2:1,FC Toronto,USA Major League Soccer
25.06. 01:30,USA MLS,DC United,3:0,FC Cincinnati,USA Major League Soccer
25.06. 01:30,USA MLS,Columbus Crew,2:0,Nashville SC,USA Major League Soccer
25.06. 01:30,USA MLS,Charlotte FC,0:0,CF Montreal,USA Major League Soccer
25.06. 02:00,BRA 1,Cruzeiro EC MG,1:0,Sao Paulo SP,Brasilien Brasilero Serie A
25.06. 02:30,USA MLS,Sp. Kansas City,0:1,Chicago Fire,USA Major League Soccer
25.06. 03:30,USA MLS,Austin FC,3:0,Houston Dynamo,USA Major League Soccer
25.06. 03:30,USA MLS,Real Salt Lake,2:2,FC Minnesota Utd.,USA Major League Soccer
25.06. 03:30,USA MLS,Colorado Rapids,0:0,LA Galaxy,USA Major League Soccer
25.06. 04:05,G-CUP,USA,1:1,Jamaika,Gold Cup
25.06. 04:05,G-CUP,USA,1:2,Jamaika+1,Gold Cup
25.06. 04:30,USA MLS,Seattle Sounders,0:0,Orlando City SC,USA Major League Soccer
25.06. 04:30,USA MLS,San Jose Earthqua,1:2,Saint Louis City,USA Major League Soccer
25.06. 04:30,USA MLS,Portland Timbers,1:1,New York City FC,USA Major League Soccer
25.06. 04:30,USA MLS,Los Angeles FC,2:3,Vancouver W'caps,USA Major League Soccer
25.06. 15:00,NOR 2,Raufoss IL,1:0,Skeid Fotball,Norwegen Adeccoligaen
25.06. 15:00,NOR 2,Aasane Fotball,2:2,Kristiansund BK,Norwegen Adeccoligaen
25.06. 15:00,NOR 2,Moss FK,0:1,Kongsvinger IL,Norwegen Adeccoligaen
25.06. 15:00,NOR 2,KFUM Oslo,3:1,Sandnes Ulf,Norwegen Adeccoligaen
25.06. 17:00,NOR 1,Tromsö IL,2:1,Stabaek IF,Norwegen Tippeligaen
25.06. 17:00,NOR 1,Rosenborg BK,0:3,Sarpsborg 08,Norwegen Tippeligaen
25.06. 17:00,NOR 1,Molde FK,1:0,FK Haugesund,Norwegen Tippeligaen
25.06. 17:00,NOR 1,HamKam,0:1,Odds BK,Norwegen Tippeligaen
25.06. 18:00,U21 EM,Tschechien U21,2:1,Deutschland U21,U21 Europameisterschaft
25.06. 18:00,U21 EM,Tschechien U21+1,3:1,Deutschland U21,U21 Europameisterschaft
25.06. 18:00,U21 EM,Tschechien U21+2,4:1,Deutschland U21,U21 Europameisterschaft
25.06. 18:00,U21 EM,England U21,2:0,Israel U21,U21 Europameisterschaft
25.06. 18:00,U21 EM,England U21,2:1,Israel U21+1,U21 Europameisterschaft
25.06. 18:00,U21 EM,England U21,2:2,Israel U21+2,U21 Europameisterschaft
25.06. 18:00,U21 EM,Schweiz U21,2:3,Italien U21,U21 Europameisterschaft
25.06. 18:00,U21 EM,Schweiz U21+1,3:3,Italien U21,U21 Europameisterschaft
25.06. 19:15,NOR 1,Strömsgodset,2:0,Bodö Glimt,Norwegen Tippeligaen
25.06. 20:30,ARG 1,Arsenal de Sarandi,0:2,CA Platense,Argentinien Primera Division
25.06. 20:45,U21 EM,Norwegen U21,0:1,Frankreich U21,U21 Europameisterschaft
25.06. 20:45,U21 EM,Norwegen U21+1,1:1,Frankreich U21,U21 Europameisterschaft
25.06. 21:00,BRA 1,Gremio RS,5:1,Coritiba FC PR,Brasilien Brasilero Serie A
