Date,League,Team 1,Score,Team 2,League Name
29.01. 20:00,NL 2,Jong Ajax Amst.,2:2,FC Dordrecht,Niederlande Jupiler League
29.01. 20:00,NL 2,SC Cambuur,1:2,FC Oss,Niederlande Jupiler League
29.01. 20:30,ENG FA,Blackburn Rovers,4:1,Wrexham FC,England - FA Cup
29.01. 20:30,ESP 2,Real Valladolid,3:1,Racing Santander,Spanien Segunda Division
29.01. 20:30,ITA C1A,Atalanta BC U23,abgesagt,AC Renate,"Italien Lega Pro Prima Divisione, Girone A"
29.01. 20:45,ITA C1C,US Avellino,0:1,Sorrento Calcio,"Italien, Lega Pro Prima Divisione, Girone C"
29.01. 20:45,ITA A,Salernitana Calcio,1:2,AS Roma,Italien Serie A
29.01. 20:45,FRA 2,Bordeaux,1:0,SCO Angers,Frankreich Ligue 2
29.01. 21:00,AFR CUP,Senegal,1:1,Elfenbeinküste,Afrika Cup
29.01. 21:00,ESP 1,Getafe CF,2:0,Granada CF,Spanien La Liga
29.01. 21:00,ESP 1,Getafe CF,2:1,Granada CF+1,Spanien La Liga
