Date,League,Team 1,Score,Team 2,League Name
16.04. 18:00,BOS CUP,Borac Banja Luka,2:1,NK Siroki Brijeg,Bosnien Cup
16.04. 19:00,NOR 1,KFUM Oslo,1:3,Strömsgodset,Norwegen Tippeligaen
16.04. 19:00,SWE 2,Östers IF,2:0,Örebro SK,Schweden Superettan
16.04. 19:30,EH AUT,EC RB Salzburg,1:4,EC KAC,win2day ICE Hockey League
16.04. 19:30,EH SWE,Frölunda HC,3:1,Skelleftea AIK,Schweden Elitserien
16.04. 19:30,EH GER2,Kassel Huskies,3:1,EV Regensburg,Deutschland 2. Eishockey Liga
16.04. 20:00,EH SUI,Zürcher SC Lions,2:1,HC Lausanne,Schweiz National League A
16.04. 20:45,SCO 1,Edinburgh City,1:0,FC Montrose,Schottland League One
16.04. 20:45,IRL 2,Wexford Youths,2:2,FC Longford Town,Irland First Division
16.04. 20:45,NIRL 1,Glentoran Belfast,1:2,Larne,Nordirland JJB Sports Premiership
16.04. 20:45,NIRL 1,Crusaders Belfast,2:1,FC Cliftonville,Nordirland JJB Sports Premiership
16.04. 20:45,NIRL 1,FC Linfield,2:2,FC Coleraine,Nordirland JJB Sports Premiership
16.04. 20:45,NIRL 1,Ballymena United,1:0,FC Glenavon,Nordirland JJB Sports Premiership
16.04. 20:45,NIRL 1,FC Dungannon,2:0,Loughgall,Nordirland JJB Sports Premiership
16.04. 20:45,NIRL 1,Newry City AFC,1:3,FC Carrick Rangers,Nordirland JJB Sports Premiership
16.04. 20:45,ENG 1,Bristol Rovers,1:0,Cambridge United,England League One
16.04. 20:45,ENG 1,Burton Albion,1:2,Cheltenham Town,England League One
16.04. 20:45,ENG 1,Port Vale FC,1:2,Wycombe Wanderers,England League One
16.04. 20:45,ENG 1,Peterborough Utd.,4:1,Fleetwood Town,England League One
16.04. 20:45,ENG 1,Bolton Wanderers,2:2,Shrewsbury Town,England League One
16.04. 20:45,ENG 1,Oxford United,0:1,Lincoln City,England League One
16.04. 20:45,ENG 1,FC Portsmouth,3:2,FC Barnsley,England League One
16.04. 21:00,ENG CS,FC Southampton,3:0,Preston North End,England Championship
16.04. 21:00,ENG CS,FC Southampton,3:1,Preston North E.+1,England Championship
16.04. 21:00,CL,Bor. Dortmund GER,4:2,Atl. Madrid ESP,UEFA Champions League
16.04. 21:00,CL,Borussia Dortmund,4:3,Atletico Madrid+1,UEFA Champions League
16.04. 21:00,CL,Bor. Dortmund+1,5:2,Atletico Madrid,UEFA Champions League
16.04. 21:00,CL,FC Barcelona ESP,1:4,Paris SG FRA,UEFA Champions League
16.04. 21:00,CL,FC Barcelona,1:5,Paris SG+1,UEFA Champions League
16.04. 21:00,CL,FC Barcelona+1,2:4,Paris SG,UEFA Champions League
16.04. 21:15,POR 1,FC Famalicao,0:1,Sporting Lissabon,Portugal Primeira Liga
16.04. 21:15,POR 1,FC Famalicao+1,1:1,Sporting Lissabon,Portugal Primeira Liga
16.04. 23:00,COL 1,Envigado FC,0:2,Deportes Tolima,Kolumbien Primera Liga
17.04. 00:30,ARG LC,Atletico Lanus,1:2,Estudiantes LP,"Argentinien, Ligacup"
17.04. 00:30,ARG LC,Defensa y Justicia,1:0,Newell's Old B.,"Argentinien, Ligacup"
17.04. 02:30,BRA 1,EC Bahia BA,2:1,Fluminense RJ,Brasilien Brasilero Serie A
17.04. 03:20,COL 1,CD Once Caldas,0:1,Indep. Santa Fe,Kolumbien Primera Liga
17.04. 16:00,EGY 1,El Gouna FC,1:0,Smouha SC,Ägypten Premier League
17.04. 16:30,CZE 2,1.SK Prostejov,0:1,MFK Vyskov,Tschechien 2. Liga
17.04. 17:00,CZE 2,AFK Chrudim,1:1,FK Varnsdorf,Tschechien 2. Liga
17.04. 17:00,CZE 2,SK Sigma Olmütz B,4:2,SK Hanacka Slavia,Tschechien 2. Liga
17.04. 17:00,CZE 2,FK Dukla Prag,2:0,SFC Opava,Tschechien 2. Liga
17.04. 17:00,CZE 2,MAS Taborsko,5:0,FK Viktoria Zizkov,Tschechien 2. Liga
17.04. 17:00,CZE 2,AC Sparta Prag B,5:1,1. FK Pribram,Tschechien 2. Liga
17.04. 17:00,CRO 1,NK Dinamo Zagreb,2:1,NK Varazdin SN,Kroatien 1. HNL
17.04. 18:00,CYP CUP,Omonia Nikosia,0:0,Aris Limassol,Zypern Cup
17.04. 18:00,NOR 1,Molde FK,1:2,Odds BK,Norwegen Tippeligaen
17.04. 18:00,NOR 1,Brann Bergen,1:0,HamKam,Norwegen Tippeligaen
17.04. 18:00,ROU CUP,Corvinul Hunedoara,3:1,FC Voluntari,Rumänien Cup
17.04. 18:00,BUL CUP,ZSKA Sofia,0:1,Botev Plovdiv,Bulgarien Cup
17.04. 18:00,SVK CUP,Sport Podbrezova,0:0,FC Spartak Trnava,Slowakei Cup
17.04. 18:00,BOS CUP,Zrinjski Mostar,3:0,FK Sloga Doboj,Bosnien Cup
