Date,League,Team 1,Score,Team 2,League Name
19.01. 18:00,HB EM,Norwegen,35:32,Niederlande,Handball Europameisterschaft
19.01. 18:00,AFR CUP,Senegal,3:1,Kamerun,Afrika Cup
19.01. 18:30,GER 2,Holstein Kiel,1:2,E. Braunschweig,Deutschland 2. Bundesliga
19.01. 18:30,GER 2,Karlsruher SC,2:1,VfL Osnabrück,Deutschland 2. Bundesliga
19.01. 19:00,GER 3,Erzgebirge Aue,2:1,Rot-Weiss Essen,Deutschland 3. Liga
19.01. 19:00,ROU 1,Rapid Bukarest,4:3,Uni Craiova 1948,Rumänien Liga 1
19.01. 19:15,EH AUT,HC Innsbruck,4:3,EC RB Salzburg,win2day ICE Hockey League
19.01. 19:15,EH AUT,EC VSV,2:2,HC Pustertal,win2day ICE Hockey League
19.01. 19:15,EH AUT,EC KAC,3:1,EC Graz 99ers,win2day ICE Hockey League
19.01. 19:30,EH AUT,Pion. Vorarlberg,2:2,Vienna Capitals,win2day ICE Hockey League
19.01. 19:45,EH AUT,HC Bozen Foxes,4:2,Fehervar AV19,win2day ICE Hockey League
19.01. 19:45,EH AUT,HC Asiago,4:5,HK Olimpija,win2day ICE Hockey League
19.01. 20:00,NL 1,Excel. Rotterdam,3:0,SC Heerenveen,Niederlande Eredivisie
19.01. 20:00,NL 2,VVV Venlo,abgesagt,ADO Den Haag,Niederlande Jupiler League
19.01. 20:00,NL 2,FC Oss,1:0,SC Telstar,Niederlande Jupiler League
19.01. 20:00,NL 2,FC Emmen,abgesagt,FC Groningen,Niederlande Jupiler League
19.01. 20:00,NL 2,FC Eindhoven,0:1,De Graafschap,Niederlande Jupiler League
19.01. 20:00,NL 2,FC Den Bosch,0:0,Roda JC Kerkrade,Niederlande Jupiler League
19.01. 20:00,ITA SC,Inter Mailand*,3:0,Lazio Rom,Italien Supercoppa
19.01. 20:30,ITA B,Sampdoria Genua,0:3,FC Parma,Italien Serie B
19.01. 20:30,GER BL,FSV Mainz 05,abgesagt,Union Berlin,Deutschland Bundesliga
19.01. 20:30,HB EM,Dänemark,28:27,Schweden,Handball Europameisterschaft
19.01. 20:45,BEL 1,KAA Gent,1:2,YR KV Mechelen,Belgien Jupiler Pro League
19.01. 20:45,ITA C1C,Latina Calcio,1:0,Nuova Monterosi,"Italien, Lega Pro Prima Divisione, Girone C"
19.01. 20:45,SCO FA,FC Clyde,0:2,FC Aberdeen,Schottland FA Cup
19.01. 21:00,AFR CUP,Guinea,1:0,Gambia,Afrika Cup
19.01. 21:00,ESP 1,CD Alaves,1:0,Cadiz CF,Spanien La Liga
19.01. 21:00,ENG CS,AFC Sunderland,0:1,Hull City,England Championship
19.01. 21:15,POR 1,Benfica Lissabon,2:0,Boavista FC,Portugal Primeira Liga
20.01. 12:30,ASICUP,Jordanien,2:2,Südkorea,Asien Cup
20.01. 13:00,GER 2,SV Elversberg,2:2,Hannover 96,Deutschland 2. Bundesliga
20.01. 13:00,GER 2,1. FC Nürnberg,3:0,Hansa Rostock,Deutschland 2. Bundesliga
20.01. 13:00,GER 2,FC St. Pauli,2:0,FC Kaiserslautern,Deutschland 2. Bundesliga
20.01. 13:30,ENG PL,FC Arsenal,5:0,Crystal Palace,England Premier League
20.01. 13:30,ENG CS,Swansea City,1:3,FC Southampton,England Championship
20.01. 14:00,ESP 1,Rayo Vallecano,0:2,UD Las Palmas,Spanien La Liga
20.01. 14:00,GER 3,Dynamo Dresden,0:1,SV Sandhausen,Deutschland 3. Liga
20.01. 15:00,AFR CUP,Algerien,2:2,Burkina Faso,Afrika Cup
20.01. 15:30,HB EM,Frankreich,39:32,Island,Handball Europameisterschaft
20.01. 15:30,ASICUP,Bahrain,1:0,Malaysia,Asien Cup
20.01. 15:30,GER BL,SV Darmstadt 98,2:2,Eintr. Frankfurt,Deutschland Bundesliga
20.01. 15:30,GER BL,FC Heidenheim,1:1,VfL Wolfsburg,Deutschland Bundesliga
20.01. 15:30,GER BL,VfL Bochum,1:0,VfB Stuttgart,Deutschland Bundesliga
20.01. 15:30,GER BL,1. FC Köln,0:4,Borussia Dortmund,Deutschland Bundesliga
20.01. 15:30,GER BL,SC Freiburg,3:2,TSG Hoffenheim,Deutschland Bundesliga
20.01. 16:00,BEL 1,KRC Genk,1:1,Cercle Brügge,Belgien Jupiler Pro League
20.01. 16:15,ESP 2,Real Saragossa,2:0,Andorra FC,Spanien Segunda Division
20.01. 16:15,ESP 1,Villarreal CF,1:1,RCD Mallorca,Spanien La Liga
20.01. 16:30,GER 3,TSV 1860 München,4:1,MSV Duisburg,Deutschland 3. Liga
20.01. 17:00,TUR 1,Pendikspor,4:0,Besiktas Istanbul,Türkei Süper Lig
20.01. 17:30,FRA CUP,Bordeaux,2:3,OGC Nizza,Frankreich Coupe de France
20.01. 18:00,HB EM,Ungarn,29:26,Kroatien,Handball Europameisterschaft
20.01. 18:00,AFR CUP,Mauretanien,2:3,Angola,Afrika Cup
20.01. 18:00,ITA A,AS Roma,2:1,Hellas Verona,Italien Serie A
20.01. 18:00,SUI SL,Young Boys Bern,1:0,Grasshoppers,Schweiz Super League
20.01. 18:00,SUI SL,FC Winterthur,abgesagt,Servette Genf,Schweiz Super League
20.01. 18:30,GER BL,RB Leipzig,2:3,Bayer Leverkusen,Deutschland Bundesliga
20.01. 18:30,GER BL,RB Leipzig,2:4,Bay. Leverkusen+1,Deutschland Bundesliga
20.01. 18:30,GER BL,RB Leipzig+1,3:3,Bayer Leverkusen,Deutschland Bundesliga
20.01. 18:30,ENG PL,FC Brentford,3:2,Nottingham Forest,England Premier League
20.01. 18:30,ESP 1,FC Valencia,1:0,Athletic Bilbao,Spanien La Liga
20.01. 20:30,GER 2,FC Schalke 04,0:2,Hamburger SV,Deutschland 2. Bundesliga
20.01. 20:30,SUI SL,Lausanne-Sport,0:1,FC St. Gallen,Schweiz Super League
20.01. 20:30,HB EM,Deutschland,22:22,Österreich,Handball Europameisterschaft
20.01. 20:45,ITA A,Udinese Calcio,2:3,AC Milan,Italien Serie A
20.01. 21:00,AFR CUP,Tunesien,1:1,Mali,Afrika Cup
20.01. 21:00,ESP 1,Celta de Vigo,0:1,Real Sociedad,Spanien La Liga
20.01. 21:30,POR 1,FC Porto,5:0,Moreirense FC,Portugal Primeira Liga
20.01. 22:30,NFL,Baltimore Ravens,34:10,Houston Texans,USA NFL
21.01. 02:15,NFL,San Francisco 49,24:21,Green Bay Packers,USA NFL
21.01. 10:30,HE-SL,"Feller, Manuel",Feller,"McGrath, Atle Lie","Ski Alpin, Herren Slalom"
21.01. 10:30,HE-SL,Kristoffersen H.,Kristof,"Noel, Clement","Ski Alpin, Herren Slalom"
21.01. 10:30,HE-SL,"Strasser, Linus",Strasse,"Yule, Daniel","Ski Alpin, Herren Slalom"
21.01. 10:30,HE-SL,"Zenhäusern, Ramon",abgesagt,"Gstrein, Fabio","Ski Alpin, Herren Slalom"
21.01. 12:30,ITA A,Frosinone Calcio,3:1,Cagliari Calcio,Italien Serie A
